,open,close,high,low,vol
2015-03-31,19.007,19.016,19.062,18.989,1132.0
2015-04-30,18.797,19.126,20.304,18.797,26810.0
2015-05-29,19.025,19.71,19.71,18.788,17318.0
2015-06-30,19.601,19.491,20.294,19.318,38529.0
2015-07-31,19.537,19.628,20.057,18.934,44018.0
2015-08-31,19.272,18.35,19.445,15.985,34873.0
2015-09-30,17.802,17.154,18.943,17.063,22123.0
2015-10-30,16.917,18.167,18.277,16.917,13165.0
2015-11-30,18.195,19.354,19.418,18.094,16204.0
2015-12-31,19.418,19.096,19.719,18.249,19000.0
2016-01-29,18.648,15.624,18.891,15.316,24324.0
2016-02-29,15.745,15.96,15.96,13.692,23435.0
2016-03-31,16.315,17.855,17.948,16.315,21750.0
2016-04-29,18.228,17.621,18.685,17.621,30531.0
2016-05-31,17.715,18.191,18.237,16.735,27226.0
2016-06-30,18.219,18.004,18.676,17.033,81662.0
2016-07-29,18.153,19.217,19.32,17.911,10357.0
2016-08-31,19.329,19.236,19.992,18.807,27829.0
2016-09-30,19.105,20.701,20.701,19.105,37461.0
2016-10-31,20.729,18.583,20.916,18.564,209003.0
2016-11-30,18.723,18.769,19.665,17.911,47774.0
2016-12-30,18.331,18.713,19.591,18.331,38738.0
2017-01-31,19.087,20.617,20.841,19.068,158380.0
2017-02-28,20.916,21.579,21.868,20.72,89186.0
2017-03-31,21.737,22.363,22.381,21.345,77191.0
2017-04-28,22.503,23.492,23.94,22.055,187289.0
2017-05-31,23.781,26.46,27.141,23.66,1106775.0
2017-06-30,26.581,27.02,28.933,25.853,1787849.0
2017-07-31,27.216,27.645,28.476,26.451,1113201.0
2017-08-31,27.673,31.864,32.032,27.328,1836823.0
2017-09-29,32.079,32.004,32.256,30.753,2177379.0
2017-10-31,32.144,33.143,33.264,31.332,2674711.0
2017-11-30,33.376,34.72,35.653,31.715,4157039.0
2017-12-29,34.767,35.055,37.296,33.656,7050680.0
2018-01-31,35.301,38.988,40.226,35.216,8730937.0
2018-02-28,38.468,38.676,40.217,34.374,8615645.0
2018-03-29,38.761,36.936,42.873,35.858,9101928.0
2018-04-30,36.615,36.955,39.574,35.168,5484034.0
2018-05-31,36.898,41.105,41.54,36.464,5338344.0
2018-06-29,41.446,42.523,45.917,41.19,9553585.0
2018-07-31,42.334,42.117,45.331,41.134,6617513.0
2018-08-31,42.211,46.986,47.146,41.928,7171429.0
2018-09-28,46.73,44.755,46.797,43.658,5290221.0
2018-10-31,45.709,40.254,45.832,37.239,9738632.0
2018-11-30,40.822,42.022,43.696,37.711,5898211.0
2018-12-31,43.488,36.289,43.488,32.994,9026570.0
2019-01-31,35.391,42.007,42.192,35.04,7700830.0
2019-02-28,41.968,45.432,45.705,41.109,5948558.0
2019-03-29,45.715,45.598,46.983,42.329,8063962.0
2019-04-30,46.174,46.076,47.891,45.286,6968332.0
2019-05-31,46.349,39.743,47.676,39.694,8556570.0
2019-06-28,39.743,46.818,46.886,38.914,6329801.0
2019-07-31,47.579,47.286,48.711,45.939,4443150.0
2019-08-30,47.286,43.246,47.569,41.617,7049604.0
2019-09-30,42.885,41.851,44.778,41.256,4651423.0
2019-10-31,42.095,43.158,43.676,39.148,5347284.0
2019-11-29,43.519,49.208,49.247,43.324,3819115.0
2019-12-31,49.101,49.018,50.84,46.964,4170997.0
2020-01-31,49.596,50.732,53.278,48.411,6521452.0
2020-02-28,51.231,51.75,59.478,48.577,11805904.0
2020-03-31,52.446,43.093,54.404,32.319,20518905.0
2020-04-30,41.545,54.189,55.825,38.597,17516310.0
2020-05-29,52.71,61.525,63.562,50.467,16283804.0
2020-06-30,62.053,69.839,71.935,59.36,30433181.0
2020-07-31,69.996,78.713,83.198,69.859,40116914.0
2020-08-31,79.633,93.364,93.707,79.526,39475380.0
2020-09-30,94.461,90.103,96.861,79.653,58999586.0
2020-10-30,91.464,88.918,103.961,88.095,56749596.0
2020-11-30,90.073,110.053,111.414,87.547,61466549.0
2020-12-31,111.649,123.471,134.253,107.34,115885106.0
2021-01-29,125.187,136.315,148.624,121.438,146050257.0
2021-02-26,138.834,129.293,158.393,125.038,226624816.0
2021-03-31,133.439,118.968,137.238,105.38,391835714.0
2021-04-30,121.954,119.782,129.214,115.586,164351500.0
2021-05-28,120.218,111.183,120.416,96.424,298540720.0
2021-06-30,111.926,129.71,131.416,106.511,180778459.0
2021-07-30,129.68,119.018,130.473,112.343,152456837.0
2021-08-31,119.554,121.031,125.217,112.611,114994436.0
2021-09-30,121.498,109.625,125.286,108.703,124540149.0
2021-10-29,110.111,120.287,123.432,105.48,104414053.0
2021-11-30,120.932,104.825,124.83,102.732,125446210.0
2021-12-31,105.876,94.59,106.105,88.301,307003586.0
2022-01-31,96.0,75.43,97.17,64.35,536809093.0
2022-02-28,76.69,70.47,78.25,57.5,476176934.0
2022-03-31,70.2,66.29,72.005,51.85,572603055.0
2022-04-29,66.765,47.13,70.84,45.89,467024940.0
