,open,close,high,low,vol
2015-04-02,19.007,18.852,19.062,18.797,1544.0
2015-04-10,19.226,19.619,19.619,19.135,5679.0
2015-04-17,19.728,19.537,19.957,19.528,4325.0
2015-04-24,19.628,20.066,20.157,19.628,10027.0
2015-05-01,20.304,18.98,20.304,18.98,6718.0
2015-05-08,18.861,19.025,19.254,18.788,6819.0
2015-05-15,19.089,19.29,19.336,19.08,2123.0
2015-05-22,19.391,19.582,19.646,19.372,3185.0
2015-05-29,19.582,19.71,19.71,19.391,4840.0
2015-06-05,19.601,19.737,19.792,19.582,7496.0
2015-06-12,19.92,19.765,19.947,19.591,4674.0
2015-06-19,19.719,20.084,20.13,19.509,6050.0
2015-06-26,20.13,19.847,20.294,19.82,11916.0
2015-07-02,19.628,19.391,19.628,19.318,20516.0
2015-07-10,19.354,19.327,19.354,18.934,9504.0
2015-07-17,19.454,20.011,20.03,19.454,7003.0
2015-07-24,20.039,19.993,20.039,19.737,5330.0
2015-07-31,19.692,19.628,20.057,19.628,10058.0
2015-08-07,19.272,18.989,19.409,18.898,4472.0
2015-08-14,19.044,19.135,19.445,18.761,3007.0
2015-08-21,19.272,17.93,19.272,17.82,6458.0
2015-08-28,16.204,18.478,18.578,15.985,16199.0
2015-09-04,18.322,17.729,18.377,17.674,6088.0
2015-09-11,18.277,18.359,18.642,18.268,2154.0
2015-09-18,18.231,18.651,18.943,18.231,12957.0
2015-09-25,18.532,17.711,18.532,17.711,4880.0
2015-10-02,17.346,17.419,17.419,16.917,2659.0
2015-10-09,17.82,18.094,18.094,17.556,804.0
2015-10-16,17.957,18.085,18.167,17.802,949.0
2015-10-23,18.076,18.085,18.085,17.638,2033.0
2015-10-30,18.058,18.167,18.277,17.903,7501.0
2015-11-06,18.195,19.025,19.144,18.195,6613.0
2015-11-13,18.797,18.094,18.879,18.094,4489.0
2015-11-20,18.186,18.852,18.852,18.186,3009.0
2015-11-27,18.879,19.418,19.418,18.834,1512.0
2015-12-04,19.354,19.217,19.537,19.035,4355.0
2015-12-11,19.299,19.098,19.719,18.907,4963.0
2015-12-18,18.505,19.108,19.272,18.249,5233.0
2015-12-24,19.108,19.479,19.479,19.053,861.0
2015-12-31,19.516,19.096,19.516,19.096,4169.0
2016-01-08,18.648,17.575,18.891,17.575,3477.0
2016-01-15,17.108,16.165,17.425,15.867,10827.0
2016-01-22,16.287,16.361,16.417,15.316,5784.0
2016-01-29,16.165,15.624,16.333,15.381,4236.0
2016-02-05,15.745,14.467,15.745,14.467,5897.0
2016-02-12,13.981,13.953,14.047,13.692,10518.0
2016-02-19,14.513,15.027,15.055,14.513,3136.0
2016-02-26,15.381,15.885,15.885,15.213,3764.0
2016-03-04,15.96,17.304,17.397,15.96,4265.0
2016-03-11,17.015,16.735,17.276,16.623,4118.0
2016-03-18,17.201,17.267,17.304,16.651,6797.0
2016-03-24,17.435,17.052,17.612,16.987,1985.0
2016-03-31,17.575,17.855,17.948,17.575,4705.0
2016-04-08,18.228,18.097,18.433,18.097,4121.0
2016-04-15,18.191,18.452,18.685,18.191,6509.0
2016-04-22,18.508,18.396,18.508,17.985,8326.0
2016-04-29,18.415,17.621,18.415,17.621,11575.0
2016-05-06,17.715,16.744,17.733,16.744,4077.0
2016-05-13,17.089,16.903,17.211,16.753,3480.0
2016-05-20,17.061,16.987,17.061,16.735,3966.0
2016-05-27,17.145,18.004,18.088,17.145,12579.0
2016-06-03,18.163,18.265,18.443,18.107,8605.0
2016-06-10,18.396,18.293,18.676,18.293,15651.0
2016-06-17,18.284,18.265,18.284,17.864,15680.0
2016-06-24,18.368,17.696,18.583,17.687,33178.0
2016-07-01,17.117,18.153,18.153,17.033,11782.0
2016-07-08,17.929,18.695,18.695,17.911,2343.0
2016-07-15,18.835,18.937,19.245,18.769,4504.0
2016-07-22,19.105,18.788,19.105,18.751,1354.0
2016-07-29,18.76,19.217,19.32,18.76,2046.0
2016-08-05,19.329,19.441,19.441,18.807,2324.0
2016-08-12,19.516,19.768,19.768,19.507,16638.0
2016-08-19,19.992,19.675,19.992,19.675,3086.0
2016-08-26,19.712,19.497,19.945,19.497,5042.0
2016-09-02,19.656,19.311,19.656,19.105,2186.0
2016-09-09,19.749,19.581,19.861,19.572,4320.0
2016-09-15,19.208,19.787,19.787,19.208,1118.0
2016-09-23,19.955,20.393,20.449,19.833,4901.0
2016-09-30,20.263,20.701,20.701,20.244,25675.0
2016-10-07,20.729,20.253,20.916,20.253,14429.0
2016-10-14,20.44,19.021,20.44,19.021,4317.0
2016-10-21,19.04,19.161,19.292,18.788,182812.0
2016-10-28,19.283,18.648,19.423,18.648,5815.0
2016-11-04,18.648,17.967,18.723,17.911,8891.0
2016-11-11,18.191,19.003,19.273,18.191,8545.0
2016-11-18,19.301,19.273,19.348,19.133,15263.0
2016-11-25,19.432,19.553,19.665,19.432,10210.0
2016-12-02,19.469,18.471,19.469,18.331,6788.0
2016-12-09,18.816,19.04,19.068,18.611,18512.0
2016-12-16,19.068,19.441,19.591,19.04,9750.0
2016-12-23,19.441,18.956,19.507,18.872,4631.0
2016-12-30,19.003,18.713,19.329,18.695,5552.0
2017-01-06,19.087,19.936,19.983,19.068,43221.0
2017-01-13,20.067,20.589,20.608,20.029,52390.0
2017-01-20,20.291,20.384,20.571,20.235,32686.0
2017-01-27,20.487,20.692,20.841,20.309,25667.0
2017-02-03,20.785,20.888,20.944,20.375,20027.0
2017-02-10,20.907,21.439,21.485,20.795,12031.0
2017-02-17,21.569,21.597,21.672,21.392,33421.0
2017-02-24,21.719,21.336,21.868,21.187,15665.0
2017-03-03,21.401,21.653,21.943,21.336,20052.0
2017-03-10,21.644,21.663,21.765,21.457,9909.0
2017-03-17,21.765,22.129,22.223,21.663,14661.0
2017-03-24,22.055,21.616,22.204,21.345,22799.0
2017-03-31,21.569,22.363,22.381,21.569,22228.0
2017-04-07,22.503,22.344,22.521,22.055,25752.0
2017-04-13,22.596,22.26,22.615,22.157,21262.0
