,close
2010-01-29,26.777
2010-02-26,27.279
2010-03-31,27.862
2010-04-30,28.402
2010-05-28,27.08
2010-06-30,27.376
2010-07-30,29.001
2010-08-31,28.714
2010-09-30,29.764
2010-10-29,30.311
2010-11-30,29.925
2010-12-31,30.76
2011-01-31,31.268
2011-02-28,31.717
2011-03-31,31.73
2011-04-29,32.237
2011-05-31,32.28
2011-06-30,32.096
2011-07-29,32.209
2011-08-31,31.331
2011-09-30,29.67
2011-10-31,32.189
2011-11-30,31.408
2011-12-30,32.837
2012-01-31,33.318
2012-02-29,34.018
2012-03-30,33.694
2012-04-30,34.077
2012-05-31,32.979
2012-06-29,34.515
2012-07-31,34.868
2012-08-31,35.302
2012-09-28,35.486
2012-10-31,35.785
2012-11-30,36.163
2012-12-31,36.669
2013-01-31,36.795
2013-02-28,37.138
2013-03-28,37.462
2013-04-30,38.256
2013-05-31,37.269
2013-06-28,36.639
2013-07-31,37.685
2013-08-30,37.389
2013-09-30,37.881
2013-10-31,39.025
2013-11-29,39.401
2013-12-31,39.955
2014-01-31,40.114
2014-02-28,41.245
2014-03-31,41.415
2014-04-30,41.787
2014-05-30,42.482
2014-06-30,42.937
2014-07-31,42.077
2014-08-29,43.282
2014-09-30,42.619
2014-10-31,43.255
2014-11-28,42.976
2014-12-31,43.013
2015-01-30,43.315
2015-02-27,44.462
2015-03-31,44.231
2015-04-30,44.818
2015-05-29,45.178
2015-06-30,44.523
2015-07-31,44.502
2015-08-31,44.024
2015-09-30,42.899
2015-10-30,44.499
2015-11-30,43.589
2015-12-31,43.155
2016-01-29,42.465
2016-02-29,43.315
2016-03-31,44.418
2016-04-29,46.02
2016-05-31,46.31
2016-06-30,47.14
2016-07-29,47.985
2016-08-31,49.15
2016-09-30,49.895
2016-10-31,49.625
2016-11-30,49.859
2016-12-30,51.173
2017-01-31,51.64
2017-02-28,52.662
2017-03-31,52.818
2017-04-28,53.476
2017-05-31,54.259
2017-06-30,54.331
2017-07-31,54.885
2017-08-31,54.921
2017-09-29,55.251
2017-10-31,55.298
2017-11-30,55.095
2017-12-29,55.23
2018-01-31,55.255
2018-02-28,54.776
2018-03-29,54.649
2018-04-30,54.912
2018-05-31,54.939
2018-06-29,54.994
2018-07-31,55.917
2018-08-31,56.312
2018-09-28,56.608
2018-10-31,55.489
2018-11-30,55.267
2018-12-31,54.113
2019-01-31,56.789
2019-02-28,57.478
2019-03-29,58.22
2019-04-30,58.794
2019-05-31,57.658
2019-06-28,59.476
2019-07-31,59.569
2019-08-30,59.98
2019-09-30,60.244
2019-10-31,60.237
2019-11-29,60.579
2019-12-31,61.737
2020-01-31,61.449
2020-02-28,60.656
2020-03-31,54.574
2020-04-30,57.239
2020-05-29,58.926
2020-06-30,58.582
2020-07-31,61.546
2020-08-31,61.532
2020-09-30,60.959
2020-10-30,61.205
2020-11-30,63.256
2020-12-31,64.495
2021-01-29,64.251
2021-02-26,64.094
2021-03-31,64.873
2021-04-30,65.287
2021-05-28,65.312
2021-06-30,66.177
2021-07-30,66.246
2021-08-31,66.649
2021-09-30,66.403
2021-10-29,66.197
2021-11-30,65.423
2021-12-31,66.917
2022-01-31,65.141
2022-02-28,64.581
2022-03-31,63.75
2022-04-29,61.085
2022-05-31,62.081
2022-06-30,57.704
2022-07-29,61.57
2022-08-31,58.917
2022-09-30,56.713
2022-10-31,58.622
2022-11-30,60.633
2022-12-30,59.568
2023-01-31,61.753
2023-02-28,60.589
2023-03-31,61.791
2023-04-28,61.916
2023-05-31,61.153
2023-06-30,62.242
2023-07-31,62.936
2023-08-31,63.051
2023-09-29,62.034
2023-10-31,61.387
2023-11-30,64.387
2023-12-29,66.442
2024-01-31,66.519
2024-02-29,66.721
2024-03-28,67.448
2024-04-30,66.537
2024-05-31,67.624
2024-06-28,67.948
2024-07-31,69.546
2024-08-30,70.623
2024-09-30,71.821
2024-10-31,71.129
2024-11-29,72.298
2024-12-31,71.735
2025-01-31,72.711
2025-02-28,73.416
2025-03-31,72.619
2025-04-30,72.705
2025-05-30,73.98
2025-06-30,75.34
2025-07-31,75.442
2025-08-29,76.277
2025-09-30,76.953
2025-10-31,76.944
2025-11-28,77.518
2025-12-31,77.9
2026-01-30,78.373
2026-02-27,78.372
2026-03-31,77.624
2026-04-30,78.804
2026-05-29,79.148
2026-06-30,79.216
2026-07-31,79.096
2026-08-31,79.81
