Date,Total Equity,Domestic Equity,World Equity,Hybrid,Total Bond,Taxable Bond,Municipal Bond,Total
2007-01-31,27428.0,5964.0,21463.0,5513.0,15044.0,12222.0,2822.0,47984.0
2007-02-28,25456.0,8843.0,16613.0,5126.0,14988.0,11859.0,3129.0,45570.0
2007-03-31,6551.0,-486.0,7037.0,3764.0,15782.0,12925.0,2857.0,26097.0
2007-04-30,16183.0,-63.0,16246.0,4354.0,13622.0,12276.0,1346.0,34158.0
2007-05-31,-2876.0,-14176.0,11300.0,4318.0,20813.0,17215.0,3598.0,22256.0
2007-06-30,2848.0,-5663.0,8510.0,2774.0,7498.0,6973.0,525.0,13120.0
2007-07-31,9740.0,-5076.0,14816.0,3210.0,4172.0,3976.0,196.0,17122.0
2007-08-31,-16769.0,-18451.0,1682.0,1637.0,-4092.0,-2925.0,-1168.0,-19224.0
2007-09-30,6814.0,-4801.0,11615.0,2321.0,7382.0,5888.0,1495.0,16518.0
2007-10-31,9507.0,-6017.0,15525.0,3629.0,11456.0,10754.0,701.0,24592.0
2007-11-30,-11208.0,-16034.0,4826.0,2218.0,2014.0,3145.0,-1131.0,-6976.0
2007-12-31,405.0,-9557.0,9962.0,2175.0,617.0,4052.0,-3434.0,3198.0
2008-01-31,-45055.0,-35860.0,-9195.0,-667.0,23171.0,20674.0,2497.0,-22551.0
2008-02-29,8511.0,2122.0,6390.0,4450.0,13760.0,12547.0,1213.0,26721.0
2008-03-31,-9430.0,-8701.0,-729.0,181.0,8707.0,6156.0,2551.0,-542.0
2008-04-30,11867.0,5063.0,6804.0,3188.0,16575.0,13107.0,3468.0,31630.0
2008-05-31,14664.0,5579.0,9085.0,3559.0,17131.0,12124.0,5007.0,35354.0
2008-06-30,-4197.0,-4064.0,-133.0,522.0,4722.0,2103.0,2619.0,1047.0
2008-07-31,-25933.0,-18343.0,-7590.0,-2096.0,1966.0,-517.0,2483.0,-26063.0
2008-08-31,-19574.0,-1861.0,-17713.0,-24.0,7736.0,5314.0,2422.0,-11862.0
2008-09-30,-50061.0,-28135.0,-21926.0,-8057.0,-1461.0,-830.0,-631.0,-59578.0
2008-10-31,-70581.0,-44650.0,-25931.0,-16334.0,-41277.0,-32915.0,-8363.0,-128193.0
2008-11-30,-19704.0,-10561.0,-9143.0,-6750.0,-14899.0,-13725.0,-1174.0,-41353.0
2008-12-31,-19268.0,-8983.0,-10286.0,-3208.0,-7104.0,-2791.0,-4313.0,-29581.0
2009-01-31,8890.0,7175.0,1715.0,-546.0,16940.0,13078.0,3862.0,25284.0
2009-02-28,-24635.0,-13509.0,-11126.0,-4658.0,16812.0,12451.0,4360.0,-12481.0
2009-03-31,-24732.0,-15153.0,-9579.0,-4865.0,19982.0,16455.0,3527.0,-9615.0
2009-04-30,11575.0,9172.0,2403.0,1997.0,28855.0,23764.0,5091.0,42426.0
2009-05-31,17939.0,13634.0,4305.0,2721.0,32316.0,25759.0,6556.0,52976.0
2009-06-30,12024.0,5631.0,6393.0,1713.0,29338.0,23966.0,5373.0,43076.0
2009-07-31,9384.0,2690.0,6694.0,1669.0,35529.0,28737.0,6792.0,46582.0
2009-08-31,3620.0,-1585.0,5205.0,3557.0,42997.0,33784.0,9213.0,50174.0
2009-09-30,-1817.0,-4851.0,3034.0,3083.0,47253.0,36929.0,10323.0,48519.0
2009-10-31,-7079.0,-13901.0,6822.0,3049.0,45028.0,40268.0,4760.0,40998.0
2009-11-30,-2390.0,-8198.0,5809.0,3078.0,35971.0,30817.0,5155.0,36659.0
