date,open,close,high,low,vol
2001-09-28,1133.58,1040.94,1155.4,944.75,25025290000.0
2001-10-31,1040.94,1059.78,1110.61,1026.76,29951280000.0
2001-11-30,1059.78,1139.45,1163.38,1054.31,26330000000.0
2001-12-31,1139.45,1148.08,1173.62,1114.53,25128570000.0
2002-01-31,1148.08,1130.2,1176.97,1081.66,29746200000.0
2002-02-28,1130.2,1106.73,1130.2,1074.36,26047600000.0
2002-03-28,1106.73,1147.39,1173.94,1106.73,26563200000.0
2002-04-30,1147.39,1076.92,1147.84,1063.46,28568900000.0
2002-05-31,1076.92,1067.14,1106.59,1048.96,26905500000.0
2002-06-28,1067.14,989.82,1070.74,952.92,29981510000.0
2002-07-31,989.82,911.62,994.46,775.68,42228720000.0
2002-08-30,911.62,916.07,965.0,833.44,29298400000.0
2002-09-30,916.07,815.28,924.02,800.2,27723710000.0
2002-10-31,815.28,885.76,907.44,768.63,37856310000.0
2002-11-29,885.76,936.31,941.82,872.05,29200960000.0
2002-12-31,936.31,879.82,954.28,869.45,25993640000.0
2003-01-31,879.82,855.7,935.05,840.34,30749580000.0
2003-02-28,855.7,841.15,864.64,806.29,25235300000.0
2003-03-31,841.15,848.18,895.9,788.9,30080030000.0
2003-04-30,848.18,916.92,924.24,847.85,29669610000.0
2003-05-30,916.92,963.59,965.38,902.83,30952100000.0
2003-06-30,963.59,974.5,1015.33,963.59,31219400000.0
2003-07-31,974.5,990.31,1015.41,962.1,31553200000.0
2003-08-29,990.31,1008.01,1011.01,960.84,24881470000.0
2003-09-30,1008.01,995.97,1040.29,990.36,29940110000.0
2003-10-31,995.97,1050.71,1053.79,995.97,32298500000.0
2003-11-28,1050.71,1058.2,1063.65,1031.2,24463220000.0
2003-12-31,1058.2,1111.92,1112.56,1053.41,27839130000.0
2004-01-30,1111.92,1131.13,1155.38,1105.08,32820000000.0
2004-02-27,1131.13,1144.94,1158.98,1124.44,27985600000.0
2004-03-31,1144.94,1126.21,1163.23,1087.16,33597900000.0
2004-04-30,1126.21,1107.3,1150.57,1107.23,31611900000.0
2004-05-28,1107.3,1120.68,1127.74,1076.32,29326400000.0
2004-06-30,1120.68,1140.84,1146.34,1113.32,27529500000.0
2004-07-30,1140.84,1101.72,1140.84,1078.78,29285600000.0
2004-08-31,1101.72,1104.24,1109.68,1060.72,26586800000.0
2004-09-30,1104.24,1114.58,1131.54,1099.18,26829870000.0
2004-10-29,1114.58,1130.2,1142.05,1090.29,31511000000.0
2004-11-30,1130.2,1173.82,1188.46,1127.6,30460280000.0
2004-12-31,1173.78,1211.92,1217.33,1173.78,31102500000.0
2005-01-31,1211.92,1181.27,1217.8,1163.75,31498800000.0
2005-02-28,1181.27,1203.6,1212.44,1180.95,29297410000.0
2005-03-31,1203.6,1180.59,1229.11,1163.69,39014150000.0
2005-04-29,1180.59,1156.85,1191.88,1136.15,43424270000.0
2005-05-31,1156.85,1191.5,1199.56,1146.18,39321990000.0
2005-06-30,1191.5,1191.33,1219.59,1188.3,40334040000.0
2005-07-29,1191.33,1234.18,1245.15,1183.55,37464670000.0
2005-08-31,1234.18,1220.33,1245.86,1201.07,42030090000.0
2005-09-30,1220.33,1228.81,1243.13,1205.35,44777510000.0
2005-10-31,1228.81,1207.01,1233.34,1168.2,49793790000.0
2005-11-30,1207.01,1249.48,1270.64,1201.07,45102870000.0
2005-12-30,1249.48,1248.29,1275.8,1246.59,41756130000.0
2006-01-31,1248.29,1280.08,1294.9,1245.74,49211650000.0
2006-02-28,1280.08,1280.66,1297.57,1253.61,42859940000.0
2006-03-31,1280.66,1294.87,1310.88,1268.42,50905040000.0
2006-04-28,1302.88,1310.61,1318.16,1280.74,43308430000.0
2006-05-31,1310.61,1270.09,1326.7,1245.34,54312830000.0
2006-06-30,1270.05,1270.2,1290.68,1219.29,54873260000.0
2006-07-31,1270.06,1276.66,1280.42,1224.54,46348220000.0
2006-08-31,1278.53,1303.82,1306.74,1261.3,50485620000.0
2006-09-29,1303.8,1335.85,1340.28,1290.93,49001440000.0
2006-10-31,1335.82,1377.94,1389.45,1327.1,56793620000.0
2006-11-30,1377.76,1400.63,1407.89,1360.98,55343930000.0
2006-12-29,1400.63,1418.3,1431.81,1385.93,47578780000.0
2007-01-31,1418.03,1438.24,1441.61,1403.97,56686200000.0
2007-02-28,1437.9,1406.82,1461.57,1389.42,51844990000.0
2007-03-30,1406.8,1420.86,1438.89,1363.98,67622250000.0
2007-04-30,1420.83,1482.37,1498.02,1416.37,57032470000.0
2007-05-31,1482.37,1530.62,1535.56,1476.7,64958050000.0
2007-06-29,1530.62,1503.35,1540.56,1484.18,65322800000.0
2007-07-31,1504.66,1455.27,1555.9,1454.25,70337430000.0
2007-08-31,1455.18,1473.99,1503.89,1370.6,91381760000.0
2007-09-28,1473.96,1526.75,1538.74,1439.29,57809700000.0
2007-10-31,1527.29,1549.38,1576.09,1489.56,76022580000.0
2007-11-30,1545.79,1481.14,1545.79,1406.1,86246950000.0
2007-12-31,1479.63,1468.36,1523.57,1435.65,64821670000.0
2008-01-31,1467.97,1378.55,1471.77,1270.05,98475340000.0
2008-02-29,1378.6,1330.63,1396.02,1316.75,78536130000.0
2008-03-31,1330.45,1322.7,1359.68,1256.98,93189170000.0
2008-04-30,1326.41,1385.59,1404.57,1324.35,85978630000.0
2008-05-30,1385.97,1400.38,1440.24,1373.07,80990480000.0
2008-06-30,1399.62,1280.0,1404.05,1272.0,96614040000.0
2008-07-31,1276.69,1267.38,1292.17,1200.44,124980570000.0
2008-08-29,1269.42,1282.83,1313.15,1247.45,86266010000.0
2008-09-30,1287.83,1166.36,1303.04,1106.42,140007320400.0
2008-10-31,1164.17,968.75,1167.03,839.8,159823030000.0
2008-11-28,968.67,896.24,1007.51,741.02,115660210000.0
2008-12-31,888.61,903.25,918.85,815.69,112884470000.0
2009-01-30,902.99,825.88,943.85,804.3,112090640400.0
2009-02-27,823.09,735.09,875.01,734.52,124492209200.0
2009-03-31,729.57,797.87,832.98,666.79,161843638800.0
2009-04-30,793.59,872.81,888.7,783.32,138855319200.0
2009-05-29,872.74,919.14,930.17,866.1,131614940400.0
2009-06-30,923.26,919.32,956.23,888.86,112653150000.0
2009-07-31,920.82,987.48,996.68,869.32,106635790000.0
2009-08-31,990.22,1020.62,1039.47,978.51,116059269600.0
2009-09-30,1019.52,1057.08,1080.15,991.97,112295489600.0
2009-10-30,1054.91,1036.19,1101.36,1019.95,113410990000.0
2009-11-30,1036.18,1095.63,1113.69,1029.38,84981530000.0
2009-12-31,1098.89,1115.1,1130.38,1085.89,89515330400.0
2010-01-29,1116.56,1073.87,1150.45,1071.59,90947579600.0
2010-02-26,1073.89,1104.49,1112.42,1044.5,84561340000.0
2010-03-31,1105.36,1169.43,1180.69,1105.36,103683550000.0
2010-04-30,1171.23,1186.69,1219.8,1170.69,116741910400.0
2010-05-28,1188.58,1089.41,1205.13,1040.78,127662779600.0
2010-06-30,1087.3,1030.71,1131.23,1028.33,110106750000.0
2010-07-30,1031.1,1101.6,1120.95,1010.91,94778110000.0
2010-08-31,1107.53,1049.33,1129.24,1039.7,85738250000.0
2010-09-30,1049.72,1141.2,1157.16,1049.72,79589450000.0
2010-10-29,1143.49,1183.26,1196.14,1131.87,89536270000.0
2010-11-30,1185.71,1180.55,1227.08,1173.0,87151070000.0
2010-12-31,1186.6,1257.64,1262.6,1186.6,80984530400.0
2011-01-31,1257.62,1286.12,1302.67,1257.62,92164940000.0
2011-02-28,1289.14,1327.22,1344.07,1289.14,59223660000.0
2011-03-31,1328.64,1325.83,1332.28,1249.05,89507640000.0
2011-04-29,1329.48,1363.61,1364.56,1294.7,77364810000.0
2011-05-31,1365.21,1345.2,1370.58,1311.8,81708980000.0
2011-06-30,1345.2,1320.64,1345.2,1258.07,86122730000.0
2011-07-29,1320.64,1292.28,1356.48,1282.86,81102170000.0
2011-08-31,1292.59,1218.89,1307.38,1101.54,108419170000.0
2011-09-30,1219.12,1131.42,1229.29,1114.22,102786820000.0
2011-10-31,1131.21,1253.3,1292.66,1074.77,98063670000.0
2011-11-30,1251.0,1246.96,1277.55,1158.66,84275050000.0
2011-12-30,1246.91,1257.6,1269.37,1202.37,74742430000.0
2012-01-31,1258.86,1312.41,1333.47,1258.86,79567560000.0
2012-02-29,1312.45,1365.68,1378.04,1312.45,78385710000.0
2012-03-30,1365.9,1408.47,1419.15,1340.03,83899660000.0
2012-04-30,1408.47,1397.91,1422.38,1357.38,74761710000.0
2012-05-31,1397.86,1310.33,1415.32,1291.98,86920490000.0
2012-06-29,1309.87,1362.16,1363.46,1266.74,81582440000.0
2012-07-31,1362.33,1379.32,1391.74,1325.41,73103810000.0
2012-08-31,1379.32,1406.58,1426.68,1354.65,70283810000.0
2012-09-28,1406.54,1440.67,1474.51,1396.56,69784280000.0
2012-10-31,1440.9,1412.16,1470.96,1403.28,71752320000.0
2012-11-30,1412.2,1416.18,1434.27,1343.35,71489310000.0
2012-12-31,1416.34,1426.19,1448.0,1398.11,66388180000.0
2013-01-31,1426.19,1498.11,1509.94,1426.19,75848510000.0
2013-02-28,1498.11,1514.68,1530.94,1485.01,69273480000.0
2013-03-28,1514.68,1569.19,1570.28,1501.48,68527110000.0
2013-04-30,1569.18,1597.57,1597.57,1536.03,77098000000.0
2013-05-31,1597.55,1630.74,1687.18,1581.28,76447250000.0
2013-06-28,1631.71,1606.28,1654.19,1560.33,74946790000.0
2013-07-31,1609.78,1685.73,1698.78,1604.57,68106820000.0
2013-08-30,1689.42,1632.97,1709.67,1627.47,64802810000.0
2013-09-30,1635.95,1681.55,1729.86,1633.41,66174410000.0
2013-10-31,1682.41,1756.54,1775.22,1646.47,76647400000.0
2013-11-29,1758.7,1805.81,1813.55,1746.2,63628190000.0
2013-12-31,1806.55,1848.36,1849.44,1767.99,64958820000.0
2014-01-31,1845.86,1782.59,1850.84,1770.45,75871910000.0
2014-02-28,1782.68,1859.45,1867.92,1737.92,69725590000.0
2014-03-31,1857.68,1872.34,1883.97,1834.44,71885030000.0
2014-04-30,1873.96,1883.95,1897.28,1814.36,71595810000.0
2014-05-30,1884.39,1923.57,1924.03,1859.79,63623630000.0
2014-06-30,1923.87,1960.23,1968.17,1915.98,63283380000.0
2014-07-31,1962.29,1930.67,1991.39,1930.67,37526526447.0
2014-08-29,1929.8,2003.37,2005.04,1904.78,8648149204.0
2014-09-30,2004.07,1972.29,2019.26,1964.04,10511202671.0
2014-10-31,1971.44,2018.05,2018.19,1820.66,13971264680.0
2014-11-28,2018.21,2067.56,2075.76,2001.01,9303517232.0
2014-12-31,2065.78,2058.9,2093.55,1972.56,12363650691.0
2015-01-30,2058.9,1994.99,2072.36,1988.12,11694789178.0
2015-02-27,1996.67,2104.5,2119.59,1980.9,10342303377.0
2015-03-31,2105.23,2067.89,2117.52,2039.69,13014702799.0
2015-04-30,2067.63,2085.51,2125.92,2048.38,11147529994.0
2015-05-29,2087.38,2107.39,2134.72,2067.93,10166639214.0
2015-06-30,2108.64,2068.76,2129.87,2056.64,12192936902.0
2015-07-31,2067.0,2103.92,2132.82,2044.02,17889757059.0
2015-08-31,2104.49,1972.18,2112.66,1867.01,14503137169.0
2015-09-30,1970.09,1920.03,2020.86,1871.91,15282743135.0
2015-10-30,1919.65,2079.36,2094.32,1893.7,14407617334.0
2015-11-30,2080.76,2080.41,2116.48,2019.39,11797272562.0
2015-12-31,2082.93,2043.94,2104.27,1993.26,14152754298.0
2016-01-29,2038.2,1940.24,2038.2,1812.29,16255958229.0
2016-02-29,1936.94,1932.23,1962.96,1810.1,15830286353.0
2016-03-31,1937.09,2059.74,2072.21,1937.09,14656120499.0
2016-04-29,2056.62,2065.3,2111.05,2033.8,13145309755.0
2016-05-31,2067.17,2096.96,2103.48,2025.91,12496368849.0
2016-06-30,2093.94,2098.86,2120.55,2006.67,13925474629.0
2016-07-29,2099.34,2173.6,2177.09,2074.02,11439993697.0
2016-08-31,2173.15,2170.95,2193.81,2147.58,11454718545.0
2016-09-30,2171.33,2168.27,2187.87,2119.12,13023767829.0
2016-10-31,2164.33,2126.15,2169.6,2114.72,11684826957.0
2016-11-30,2128.68,2198.81,2214.1,2083.79,13899411467.0
2016-12-30,2200.17,2238.83,2277.53,2187.44,36059444467.0
2017-01-31,2251.57,2278.87,2300.99,2245.13,41879634327.0
2017-02-28,2285.59,2363.64,2371.54,2271.65,40740792428.0
2017-03-31,2380.13,2362.72,2400.98,2322.25,47262642118.0
2017-04-28,2362.34,2384.2,2398.16,2328.95,37735944931.0
2017-05-31,2388.5,2411.8,2418.71,2352.72,44654186258.0
2017-06-30,2415.65,2423.41,2453.82,2405.7,48560081219.0
2017-07-31,2431.39,2470.3,2484.04,2407.7,38444881701.0
2017-08-31,2477.1,2471.65,2490.87,2417.35,40576568912.0
2017-09-29,2474.42,2519.36,2519.44,2446.55,39446919405.0
2017-10-31,2521.2,2575.26,2582.98,2520.4,43198854908.0
2017-11-30,2583.21,2647.58,2657.74,2557.45,43351095250.0
2017-12-29,2645.1,2673.61,2694.97,2605.52,39132011023.0
2018-01-31,2683.73,2823.81,2872.87,2682.36,47016764084.0
2018-02-28,2816.45,2713.83,2835.96,2532.69,49680991803.0
2018-03-29,2715.22,2640.87,2801.9,2585.89,49520702567.0
2018-04-30,2633.45,2648.05,2717.49,2553.8,44339282806.0
2018-05-31,2643.64,2705.27,2742.24,2594.62,44387501398.0
2018-06-29,2718.7,2718.37,2791.47,2691.99,45534269757.0
2018-07-31,2704.95,2816.29,2848.03,2698.95,39758663331.0
2018-08-31,2821.17,2901.52,2916.5,2796.34,41920715337.0
2018-09-28,2896.96,2913.98,2940.91,2864.12,38082225536.0
2018-10-31,2926.29,2711.74,2939.86,2603.54,48832308363.0
2018-11-30,2717.58,2760.17,2815.15,2631.09,43656914782.0
2018-12-31,2790.5,2506.85,2800.18,2346.58,46586377806.0
2019-01-31,2476.96,2704.1,2708.95,2443.96,51676850936.0
2019-02-28,2702.32,2784.49,2813.49,2681.83,41413762264.0
2019-03-29,2798.22,2834.4,2860.31,2722.27,46072721023.0
2019-04-30,2848.63,2945.83,2949.52,2848.63,41004945468.0
2019-05-31,2952.33,2752.06,2954.13,2750.52,44268660078.0
2019-06-28,2751.53,2941.76,2964.15,2728.81,40240961599.0
2019-07-31,2971.41,2980.38,3027.98,2952.22,38589600279.0
2019-08-30,2980.32,2926.46,3013.59,2822.12,44182150431.0
2019-09-30,2909.01,2976.74,3021.99,2891.85,38026269448.0
2019-10-31,2983.69,3037.56,3050.1,2855.94,41102823294.0
2019-11-29,3050.72,3140.98,3154.26,3050.72,36870813098.0
2019-12-31,3143.85,3230.78,3247.93,3070.33,36752559983.0
2020-01-31,3244.67,3225.52,3337.77,3214.64,41642588989.0
2020-02-28,3235.66,2954.22,3393.52,2855.84,45245591112.0
2020-03-31,2974.28,2584.59,3136.72,2191.86,95476448321.0
2020-04-30,2498.08,2912.43,2954.86,2447.49,71183388672.0
2020-05-29,2869.09,3044.31,3068.67,2766.64,61411575351.0
2020-06-30,3038.78,3100.29,3233.13,2965.66,72273671162.0
2020-07-31,3105.92,3271.12,3279.99,3101.17,54487212855.0
2020-08-31,3288.26,3500.31,3514.77,3284.53,46125738432.0
2020-09-30,3507.44,3363.0,3588.11,3209.45,55234683588.0
2020-10-30,3385.87,3269.96,3549.85,3233.94,51333972311.0
2020-11-30,3296.2,3621.63,3645.99,3279.74,53536029492.0
2020-12-31,3645.87,3756.07,3760.2,3633.4,50012211455.0
2021-01-29,3764.61,3714.24,3870.9,3662.71,51314664046.0
2021-02-26,3731.17,3811.15,3950.43,3725.62,45312810114.0
2021-03-31,3842.51,3972.89,3994.41,3723.34,61183739628.0
2021-04-30,3992.78,4181.17,4218.78,3992.78,44569621182.0
2021-05-28,4191.98,4204.11,4238.04,4056.88,44739836296.0
2021-06-30,4216.52,4297.5,4302.43,4164.4,45608522954.0
2021-07-30,4300.73,4395.26,4429.97,4233.13,41950748525.0
2021-08-31,4406.86,4522.68,4537.36,4367.73,40953480099.0
2021-09-30,4528.8,4307.54,4545.85,4305.91,43096943956.0
2021-10-29,4317.16,4605.38,4608.08,4278.94,41734569588.0
2021-11-30,4610.62,4567.0,4743.83,4560.0,47188041702.0
2021-12-31,4602.82,4766.18,4808.93,4495.12,49779278405.0
2022-01-31,4778.14,4515.55,4818.62,4222.62,54612068715.0
2022-02-28,4519.57,4373.94,4595.31,4114.65,50653701487.0
2022-03-31,4363.14,4530.41,4637.3,4157.87,61933206634.0
2022-04-29,4540.32,4131.93,4593.45,4124.28,49420836427.0
2022-05-31,4130.61,4132.15,4307.66,3810.32,56852798814.0
2022-06-30,4149.78,3785.38,4177.51,3636.87,53162507955.0
2022-07-29,3781.0,4130.29,4140.15,3721.56,44910390253.0
2022-08-31,4112.38,3955.0,4325.28,3954.53,46931421338.0
2022-09-30,3936.73,3585.62,4119.28,3584.13,53153344409.0
2022-10-31,3609.78,3871.98,3905.42,3491.58,57093161986.0
2022-11-30,3901.79,4080.11,4080.11,3698.15,52380649502.0
2022-12-30,4087.14,3839.5,4100.96,3764.49,48885838060.0
2023-01-31,3853.29,4076.6,4094.21,3794.33,48726753617.0
2023-02-28,4070.07,3970.15,4195.44,3943.08,46674728982.0
2023-03-31,3963.34,4109.31,4110.75,3808.86,64862286883.0
