,open,close,high,low,vol
2011-05-13,1340.2,1337.77,1359.44,1332.03,19539110000.0
2011-05-20,1334.77,1333.27,1346.82,1318.51,19514380000.0
2011-05-27,1333.07,1331.1,1334.62,1311.8,17595530000.0
2011-06-03,1331.1,1300.16,1345.2,1297.9,16204530000.0
2011-06-10,1300.26,1270.98,1300.26,1268.28,18551800000.0
2011-06-17,1271.31,1271.5,1292.5,1258.07,20466010000.0
2011-06-24,1271.5,1268.45,1298.61,1262.87,19888020000.0
2011-07-01,1268.44,1339.67,1341.01,1267.53,19505540000.0
2011-07-08,1339.59,1343.8,1356.48,1330.92,14950400000.0
2011-07-15,1343.31,1316.14,1343.31,1306.51,20768430000.0
2011-07-22,1315.94,1345.02,1347.0,1295.92,20550440000.0
2011-07-29,1344.32,1292.28,1344.32,1282.86,21035970000.0
2011-08-05,1292.59,1199.38,1307.38,1168.09,26341740000.0
2011-08-12,1198.48,1178.81,1198.48,1101.54,19325310000.0
2011-08-19,1178.86,1123.53,1208.47,1122.05,22135160000.0
2011-08-26,1123.55,1176.8,1190.68,1121.09,26548480000.0
2011-09-02,1177.91,1173.97,1230.71,1170.56,23250630000.0
2011-09-09,1173.97,1154.23,1204.4,1140.13,18596560000.0
2011-09-16,1153.5,1216.01,1220.06,1136.07,24565280000.0
2011-09-23,1214.99,1136.43,1220.39,1114.22,25641420000.0
2011-09-30,1136.91,1131.42,1195.86,1131.07,24801410000.0
2011-10-07,1131.21,1155.46,1171.4,1074.77,22574340000.0
2011-10-14,1158.15,1224.58,1224.61,1158.15,22779620000.0
2011-10-21,1224.47,1238.25,1239.03,1191.48,23838320000.0
2011-10-28,1238.72,1285.09,1292.66,1221.06,24561180000.0
2011-11-04,1284.96,1253.23,1284.96,1215.42,22746070000.0
2011-11-11,1253.21,1263.85,1277.55,1226.64,19370910000.0
2011-11-18,1263.85,1215.65,1264.25,1209.43,19328050000.0
2011-11-25,1215.62,1158.67,1215.62,1158.66,13424920000.0
2011-12-02,1158.67,1244.28,1260.08,1158.67,21678300000.0
2011-12-09,1244.33,1255.19,1267.06,1231.47,20171810000.0
2011-12-16,1255.05,1219.66,1255.05,1209.47,21176570000.0
2011-12-23,1219.74,1265.33,1265.42,1202.37,16400510000.0
2011-12-30,1265.02,1257.6,1269.37,1248.64,9030550000.0
2012-01-06,1258.86,1277.81,1284.62,1258.86,15509070000.0
2012-01-13,1277.83,1289.09,1296.82,1274.55,19273940000.0
2012-01-20,1290.22,1315.38,1315.49,1290.22,16485160000.0
2012-01-27,1315.29,1316.33,1333.47,1306.06,20404830000.0
2012-02-03,1316.16,1344.9,1345.34,1300.49,21128390000.0
2012-02-10,1344.32,1342.64,1354.32,1335.92,19306360000.0
2012-02-17,1343.06,1361.23,1363.4,1340.8,19414420000.0
2012-02-24,1361.22,1365.74,1368.92,1352.28,14720720000.0
2012-03-02,1365.2,1369.63,1378.04,1354.92,18913110000.0
2012-03-09,1369.59,1370.87,1374.76,1340.03,18383450000.0
2012-03-16,1370.78,1404.17,1405.88,1366.69,21406220000.0
2012-03-23,1404.17,1397.11,1414.0,1386.87,18414980000.0
2012-03-30,1397.11,1408.47,1419.15,1391.56,18492280000.0
2012-04-05,1408.47,1398.08,1422.38,1392.92,14636130000.0
2012-04-13,1397.45,1370.26,1397.45,1357.38,19093190000.0
2012-04-20,1370.27,1378.53,1392.76,1365.38,18507460000.0
2012-04-27,1378.53,1403.36,1406.64,1358.79,18950920000.0
2012-05-04,1403.26,1369.1,1415.32,1367.96,19165870000.0
2012-05-11,1368.79,1353.39,1373.91,1343.13,19706660000.0
2012-05-18,1351.93,1295.22,1351.93,1291.98,21259330000.0
2012-05-25,1295.73,1317.82,1328.49,1295.73,18829090000.0
2012-06-01,1318.9,1278.04,1334.93,1277.25,16202900000.0
2012-06-08,1278.29,1325.66,1329.05,1266.74,19438880000.0
2012-06-15,1325.72,1342.84,1343.32,1306.62,18576250000.0
2012-06-22,1342.42,1335.02,1363.46,1324.41,20136440000.0
2012-06-29,1334.9,1362.16,1362.17,1309.27,18761520000.0
2012-07-06,1362.33,1354.68,1374.81,1348.03,11204700000.0
2012-07-13,1354.66,1356.78,1361.54,1325.41,16669120000.0
2012-07-20,1356.5,1362.66,1380.39,1345.07,18040410000.0
2012-07-27,1362.34,1385.97,1389.19,1329.24,20155950000.0
2012-08-03,1385.94,1390.99,1394.16,1354.65,19419460000.0
2012-08-10,1391.04,1405.87,1407.14,1391.04,15913920000.0
2012-08-17,1405.87,1418.16,1418.71,1397.32,14123730000.0
2012-08-24,1417.85,1411.13,1426.68,1398.04,14718990000.0
2012-08-31,1411.13,1406.58,1416.17,1397.01,13141340000.0
2012-09-07,1406.54,1437.92,1437.92,1396.56,14259910000.0
2012-09-14,1437.92,1465.77,1474.51,1428.98,20023040000.0
2012-09-21,1465.42,1460.15,1467.07,1449.98,18527570000.0
2012-09-28,1459.76,1440.67,1463.24,1430.53,16973760000.0
2012-10-05,1440.9,1460.93,1470.96,1439.01,17147310000.0
2012-10-12,1460.93,1428.59,1460.93,1425.53,15577390000.0
2012-10-19,1428.75,1433.19,1464.02,1427.24,18463100000.0
2012-10-26,1433.21,1411.94,1435.46,1403.28,16987410000.0
2012-11-02,1410.99,1414.2,1434.27,1405.95,11239480000.0
2012-11-09,1414.02,1379.85,1433.38,1373.03,18011370000.0
2012-11-16,1379.86,1359.88,1388.81,1343.35,18107380000.0
2012-11-23,1359.88,1409.15,1409.16,1359.88,10754010000.0
2012-11-30,1409.15,1416.18,1419.7,1385.43,16954180000.0
2012-12-07,1416.34,1418.07,1423.73,1398.23,16930770000.0
2012-12-14,1418.07,1413.58,1438.59,1411.88,16918840000.0
2012-12-21,1413.54,1430.15,1448.0,1413.54,20543390000.0
2012-12-28,1430.15,1402.43,1430.15,1401.58,8790850000.0
2013-01-04,1402.43,1466.47,1467.94,1398.11,14660950000.0
2013-01-11,1466.47,1472.05,1472.75,1451.64,18003450000.0
2013-01-18,1472.05,1485.98,1485.98,1463.76,17024890000.0
2013-01-25,1485.98,1502.96,1503.26,1481.16,14298680000.0
2013-02-01,1502.96,1513.17,1514.41,1496.33,18901190000.0
2013-02-08,1513.17,1517.93,1518.31,1495.02,17220660000.0
2013-02-15,1517.93,1519.79,1524.69,1513.61,17082600000.0
2013-02-22,1519.79,1515.6,1530.94,1497.29,15683400000.0
2013-03-01,1515.6,1518.2,1525.84,1485.01,19146110000.0
2013-03-08,1518.2,1551.18,1552.48,1512.29,17988980000.0
2013-03-15,1551.15,1560.7,1563.62,1547.36,18074930000.0
2013-03-22,1560.7,1556.89,1561.56,1538.57,16501510000.0
2013-03-28,1556.89,1569.19,1570.28,1546.22,12266080000.0
2013-04-05,1569.18,1553.28,1573.66,1539.5,16991960000.0
2013-04-12,1553.26,1588.85,1597.35,1548.63,16193490000.0
2013-04-19,1588.84,1555.25,1588.84,1536.03,20025810000.0
2013-04-26,1555.25,1582.24,1592.64,1548.19,17250470000.0
2013-05-03,1582.34,1614.42,1618.46,1581.28,17137450000.0
2013-05-10,1614.4,1633.7,1635.01,1614.21,16470390000.0
2013-05-17,1632.1,1667.47,1667.47,1626.74,16979670000.0
2013-05-24,1665.71,1649.6,1687.18,1635.53,17853250000.0
2013-05-31,1652.63,1630.74,1674.21,1630.74,14642760000.0
2013-06-07,1631.71,1643.38,1646.53,1598.23,18157630000.0
2013-06-14,1644.67,1626.73,1648.69,1608.07,15935010000.0
2013-06-21,1630.64,1592.43,1654.19,1577.7,20459250000.0
2013-06-28,1588.77,1606.28,1620.07,1560.33,20394900000.0
2013-07-05,1609.78,1631.89,1632.07,1604.57,11022010000.0
2013-07-12,1634.2,1680.19,1680.19,1634.2,16166370000.0
2013-07-19,1679.59,1692.09,1693.12,1671.84,15613300000.0
2013-07-26,1694.41,1691.65,1698.78,1676.03,15296700000.0
2013-08-02,1690.32,1709.67,1709.67,1681.86,16920240000.0
2013-08-09,1708.01,1691.42,1709.24,1684.91,14910070000.0
2013-08-16,1688.37,1655.83,1696.81,1652.61,15334290000.0
2013-08-23,1655.25,1663.5,1664.85,1639.43,13950930000.0
2013-08-30,1664.29,1632.97,1669.51,1627.47,13695720000.0
