,open,close,high,low,vol
2010-01-29,48.266,45.841,49.478,45.734,1168232800.0
2010-02-26,46.054,47.892,48.388,44.231,1182361400.0
2010-03-31,48.243,51.834,53.026,48.243,1339726800.0
2010-04-30,52.239,54.777,57.078,51.52,1385147700.0
2010-05-28,55.121,50.649,56.046,47.178,2161554700.0
2010-06-30,50.152,46.727,51.987,46.406,1750853100.0
2010-07-30,46.788,50.037,51.769,45.143,1500125000.0
2010-08-31,50.922,46.312,51.207,45.25,1325185200.0
2010-09-30,47.12,52.076,52.886,46.959,1246616300.0
2010-10-29,52.57,54.237,55.209,51.289,1094941100.0
2010-11-30,54.514,56.127,57.13,53.473,998529700.0
2010-12-31,57.184,60.636,61.395,56.173,887371400.0
2011-01-31,61.178,60.411,62.542,59.636,1074099800.0
2011-02-28,60.899,63.759,64.921,60.736,932211800.0
2011-03-31,63.999,65.367,65.461,60.116,1537091900.0
2011-04-29,65.833,67.091,67.317,63.239,995263300.0
2011-05-31,67.394,65.888,67.418,62.719,1319881600.0
2011-06-30,65.787,64.303,65.872,59.978,1502977500.0
2011-07-29,64.366,62.113,66.966,60.867,1283053300.0
2011-08-31,62.853,56.59,63.087,49.665,2395662000.0
2011-09-30,56.629,50.28,57.354,49.455,1746990000.0
2011-10-31,49.897,57.873,60.188,46.988,1800101400.0
2011-11-30,55.66,57.654,59.148,52.094,1405487100.0
2011-12-30,57.451,57.951,59.059,55.191,1103297700.0
2012-01-31,59.467,62.092,62.791,57.652,925952900.0
2012-02-29,62.673,63.687,65.463,62.445,980020300.0
2012-03-30,63.946,65.27,66.728,61.612,1166983800.0
2012-04-30,65.057,64.213,66.207,61.589,1069203900.0
2012-05-31,64.284,59.989,65.396,58.649,1257046000.0
2012-06-29,58.641,63.02,63.154,57.49,1145312200.0
2012-07-31,63.305,62.061,64.826,60.374,938763600.0
2012-08-31,62.505,64.255,65.515,60.398,799934100.0
2012-09-28,64.303,66.35,68.881,63.804,807108600.0
2012-10-31,66.764,64.911,67.79,63.957,736030400.0
2012-11-30,65.062,65.269,65.961,60.537,872452200.0
2012-12-31,65.77,67.63,67.863,64.728,746120600.0
2013-01-31,69.251,71.849,72.371,69.01,766259000.0
2013-02-28,72.154,72.571,74.336,71.216,583143300.0
2013-03-28,72.09,75.952,76.186,71.553,646279900.0
2013-04-30,75.824,75.687,76.065,71.689,1052706400.0
2013-05-31,75.454,78.663,80.738,73.805,896201900.0
2013-06-28,78.936,78.019,80.272,75.47,996340700.0
2013-07-31,78.542,83.742,84.808,78.534,690073000.0
2013-08-30,84.566,81.092,85.333,80.979,641771700.0
2013-09-30,82.288,86.354,87.059,80.89,685107200.0
2013-10-31,86.314,88.444,90.412,83.43,882360000.0
2013-11-29,88.622,91.943,92.47,86.784,749041900.0
2013-12-31,92.097,93.801,94.297,88.549,741583600.0
2014-01-31,93.582,91.199,95.436,90.273,792854000.0
2014-02-28,90.964,95.558,96.525,87.223,844601900.0
2014-03-31,94.745,95.088,98.046,92.922,1045242100.0
2014-04-30,95.325,91.525,96.837,88.811,1116610700.0
