,close
2010-01-29,20.19
2010-02-26,20.144
2010-03-31,20.841
2010-04-30,21.235
2010-05-28,20.302
2010-06-30,20.603
2010-07-30,21.65
2010-08-31,21.559
2010-09-30,22.323
2010-10-29,22.973
2010-11-30,22.535
2010-12-31,22.958
2011-01-31,23.409
2011-02-28,23.724
2011-03-31,23.716
2011-04-29,24.095
2011-05-31,24.234
2011-06-30,23.99
2011-07-29,24.161
2011-08-31,23.43
2011-09-30,22.003
2011-10-31,23.846
2011-11-30,23.323
2011-12-30,24.127
2012-01-31,24.768
2012-02-29,25.295
2012-03-30,24.987
2012-04-30,25.372
2012-05-31,24.489
2012-06-29,25.515
2012-07-31,25.942
2012-08-31,26.262
2012-09-28,26.455
2012-10-31,26.687
2012-11-30,26.983
2012-12-31,27.376
2013-01-31,27.45
2013-02-28,27.648
2013-03-28,27.936
2013-04-30,28.516
2013-05-31,27.858
2013-06-28,27.246
2013-07-31,27.935
2013-08-30,27.784
2013-09-30,28.194
2013-10-31,29.048
2013-11-29,29.419
2013-12-31,29.863
2014-01-31,30.033
2014-02-28,30.878
2014-03-31,31.023
2014-04-30,31.652
2014-05-30,32.096
2014-06-30,32.553
2014-07-31,32.228
2014-08-29,33.519
2014-09-30,33.154
2014-10-31,33.952
2014-11-28,33.931
2014-12-31,34.391
2015-01-30,34.685
2015-02-27,36.112
2015-03-31,36.293
2015-04-30,37.213
2015-05-29,37.918
2015-06-30,37.673
2015-07-31,37.968
2015-08-31,37.736
2015-09-30,37.105
2015-10-30,38.758
2015-11-30,38.321
2015-12-31,38.423
2016-01-29,37.63
2016-02-29,38.695
2016-03-31,40.563
2016-04-29,42.724
2016-05-31,43.533
2016-06-30,45.058
2016-07-29,46.5
2016-08-31,48.124
2016-09-30,49.367
2016-10-31,49.757
2016-11-30,50.601
2016-12-30,53.146
2017-01-31,53.817
2017-02-28,55.318
2017-03-31,55.946
2017-04-28,57.33
2017-05-31,58.522
2017-06-30,59.226
2017-07-31,60.364
2017-08-31,60.937
2017-09-29,61.852
2017-10-31,62.506
2017-11-30,62.862
2017-12-29,64.198
2018-01-31,64.163
2018-02-28,63.584
2018-03-29,63.237
2018-04-30,63.538
2018-05-31,63.383
2018-06-29,63.431
2018-07-31,64.555
2018-08-31,64.954
2018-09-28,65.354
2018-10-31,64.051
2018-11-30,63.573
2018-12-31,62.095
2019-01-31,65.348
2019-02-28,66.915
2019-03-29,68.438
2019-04-30,69.993
2019-05-31,69.26
2019-06-28,71.423
2019-07-31,71.521
2019-08-30,71.996
2019-09-30,72.273
2019-10-31,72.231
2019-11-29,72.654
2019-12-31,74.112
2020-01-31,73.773
2020-02-28,72.685
2020-03-31,64.674
2020-04-30,67.93
2020-05-29,70.327
2020-06-30,70.084
2020-07-31,73.87
2020-08-31,73.951
2020-09-30,73.212
2020-10-30,73.554
2020-11-30,76.157
2020-12-31,77.778
2021-01-29,77.392
2021-02-26,77.51
2021-03-31,78.259
2021-04-30,78.834
2021-05-28,78.893
2021-06-30,79.936
2021-07-30,80.082
2021-08-31,80.522
2021-09-30,80.327
2021-10-29,80.068
2021-11-30,79.024
2021-12-31,80.889
2022-01-31,78.654
2022-02-28,77.996
2022-03-31,76.945
2022-04-29,73.559
2022-05-31,74.637
2022-06-30,68.949
2022-07-29,73.626
2022-08-31,70.516
2022-09-30,67.785
2022-10-31,69.86
2022-11-30,72.387
2022-12-30,71.026
2023-01-31,73.891
2023-02-28,72.493
2023-03-31,74.041
2023-04-28,74.14
2023-05-31,73.214
2023-06-30,74.603
2023-07-31,75.593
2023-08-31,75.781
2023-09-29,74.505
2023-10-31,73.702
2023-11-30,77.254
2023-12-29,79.848
2024-01-31,79.966
2024-02-29,80.205
2024-03-28,81.151
2024-04-30,80.069
2024-05-31,81.327
2024-06-28,81.718
2024-07-31,83.552
2024-08-30,84.871
2024-09-30,86.19
2024-10-31,85.338
2024-11-29,86.756
2024-12-31,86.001
2025-01-31,87.163
2025-02-28,87.975
2025-03-31,86.798
2025-04-30,86.745
2025-05-30,88.338
2025-06-30,90.094
2025-07-31,90.242
2025-08-29,91.328
2025-09-30,92.278
2025-10-31,92.219
2025-11-28,92.975
2025-12-31,93.532
2026-01-30,94.119
2026-02-27,94.109
2026-03-31,93.131
2026-04-30,94.73
2026-05-29,95.189
2026-06-30,95.311
2026-07-31,95.153
2026-08-31,96.06
