,close
2010-01-29,49.484
2010-02-26,49.733
2010-03-31,50.06
2010-04-30,51.018
2010-05-28,50.577
2010-06-30,52.238
2010-07-30,53.577
2010-08-31,55.12
2010-09-30,55.389
2010-10-29,55.262
2010-11-30,54.386
2010-12-31,53.998
2011-01-31,54.017
2011-02-28,54.61
2011-03-31,54.325
2011-04-29,55.694
2011-05-31,56.415
2011-06-30,55.98
2011-07-29,57.353
2011-08-31,57.565
2011-09-30,57.784
2011-10-31,59.251
2011-11-30,57.401
2011-12-30,59.434
2012-01-31,60.709
2012-02-29,61.724
2012-03-30,60.847
2012-04-30,61.506
2012-05-31,61.971
2012-06-29,62.511
2012-07-31,64.689
2012-08-31,64.654
2012-09-28,65.365
2012-10-31,66.245
2012-11-30,65.968
2012-12-31,65.949
2013-01-31,65.093
2013-02-28,65.793
2013-03-28,65.763
2013-04-30,67.192
2013-05-31,65.03
2013-06-28,62.905
2013-07-31,63.601
2013-08-30,63.16
2013-09-30,63.836
2013-10-31,65.201
2013-11-29,65.326
2013-12-31,65.878
2014-01-31,67.118
2014-02-28,68.091
2014-03-31,68.273
2014-04-30,69.383
2014-05-30,70.64
2014-06-30,70.845
2014-07-31,70.815
2014-08-29,72.442
2014-09-30,71.425
2014-10-31,72.512
2014-11-28,73.38
2014-12-31,73.774
2015-01-30,76.541
2015-02-27,75.66
2015-03-31,76.012
2015-04-30,75.314
2015-05-29,74.676
2015-06-30,73.475
2015-07-31,74.299
2015-08-31,73.919
2015-09-30,74.992
2015-10-30,75.64
2015-11-30,75.739
2015-12-31,75.347
2016-01-29,75.439
2016-02-29,76.459
2016-03-31,79.455
2016-04-29,80.917
2016-05-31,80.721
2016-06-30,83.446
2016-07-29,84.76
2016-08-31,85.135
2016-09-30,85.087
2016-10-31,84.006
2016-11-30,81.561
2016-12-30,82.696
2017-01-31,82.815
2017-02-28,84.137
2017-03-31,84.116
2017-04-28,85.347
2017-05-31,86.485
2017-06-30,86.901
2017-07-31,87.566
2017-08-31,88.159
2017-09-29,88.115
2017-10-31,88.285
2017-11-30,88.176
2017-12-29,89.253
2018-01-31,88.159
2018-02-28,86.187
2018-03-29,86.667
2018-04-30,85.309
2018-05-31,85.755
2018-06-29,85.336
2018-07-31,86.484
2018-08-31,86.5
2018-09-28,86.378
2018-10-31,84.608
2018-11-30,84.305
2018-12-31,85.872
2019-01-31,88.765
2019-02-28,88.583
2019-03-29,91.178
2019-04-30,91.576
2019-05-31,93.087
2019-06-28,96.11
2019-07-31,96.353
2019-08-30,100.097
2019-09-30,99.341
2019-10-31,99.783
2019-11-29,100.257
2019-12-31,100.786
2020-01-31,103.251
2020-02-28,104.378
2020-03-31,97.79
2020-04-30,102.528
2020-05-29,105.051
2020-06-30,107.286
2020-07-31,110.612
2020-08-31,108.645
2020-09-30,108.168
2020-10-30,107.616
2020-11-30,111.675
2020-12-31,111.843
2021-01-29,109.794
2021-02-26,107.31
2021-03-31,105.724
2021-04-30,106.827
2021-05-28,107.492
2021-06-30,109.869
2021-07-30,111.428
2021-08-31,111.044
2021-09-30,109.371
2021-10-29,109.952
2021-11-30,109.822
2021-12-31,109.784
2022-01-31,105.841
2022-02-28,103.585
2022-03-31,100.587
2022-04-29,93.848
2022-05-31,95.597
2022-06-30,92.134
2022-07-29,96.229
2022-08-31,91.966
2022-09-30,86.467
2022-10-31,85.823
2022-11-30,91.528
2022-12-30,90.108
2023-01-31,94.758
2023-02-28,90.807
2023-03-31,94.302
2023-04-28,94.872
2023-05-31,93.193
2023-06-30,93.948
2023-07-31,93.999
2023-08-31,92.844
2023-09-29,89.541
2023-10-31,87.382
2023-11-30,94.001
2023-12-29,98.583
2024-01-31,98.146
2024-02-29,96.25
2024-03-28,97.733
2024-04-30,94.563
2024-05-31,96.657
2024-06-28,97.233
2024-07-31,99.797
2024-08-30,101.665
2024-09-30,103.66
2024-10-31,100.365
2024-11-29,102.163
2024-12-31,99.43
2025-01-31,100.007
2025-02-28,102.378
2025-03-31,101.904
2025-04-30,101.628
2025-05-30,101.838
2025-06-30,103.959
2025-07-31,103.866
2025-08-29,104.95
2025-09-30,106.92
2025-10-31,107.08
2025-11-28,108.078
2025-12-31,107.282
2026-01-30,107.652
2026-02-27,109.135
2026-03-31,106.873
2026-04-30,107.174
2026-05-29,108.098
2026-06-30,108.22
2026-07-31,105.792
2026-08-31,106.21
