date,open,close,high,low,vol
2001-10-31,1161.74,1364.78,1487.4,1131.32,4388589000.0
2001-11-30,1381.7,1596.05,1644.38,1358.72,3832473000.0
2001-12-31,1576.26,1577.05,1734.58,1557.18,3553938000.0
2002-01-31,1590.71,1550.17,1710.23,1481.46,3909598000.0
2002-02-28,1544.42,1359.22,1561.24,1329.93,3402269000.0
2002-03-28,1373.15,1452.81,1573.42,1370.32,3461937000.0
2002-04-30,1440.38,1277.07,1481.74,1228.94,3864851000.0
2002-05-31,1273.63,1208.34,1350.54,1142.25,3980281000.0
2002-06-28,1205.2,1051.41,1213.18,979.87,3663823000.0
2002-07-31,1044.48,962.1,1066.28,869.17,4523767000.0
2002-08-30,954.56,942.38,1052.49,856.35,3149076000.0
2002-09-30,928.5,832.52,978.46,825.8,2902968000.0
2002-10-31,841.29,989.54,1007.72,795.25,3873016000.0
2002-11-29,981.24,1116.1,1134.6,972.34,3567365000.0
2002-12-31,1144.21,984.37,1155.68,977.59,2912263000.0
2003-01-31,995.64,983.05,1104.32,968.34,3089803000.0
2003-02-28,987.37,1009.74,1019.25,938.52,2437404000.0
2003-03-31,1015.87,1018.66,1099.61,946.79,3113699000.0
2003-04-30,1025.02,1106.06,1126.58,1015.46,3076143000.0
2003-05-30,1104.38,1197.89,1201.25,1094.42,3842331000.0
2003-06-30,1210.77,1201.69,1265.69,1180.01,4117099000.0
2003-07-31,1195.3,1276.94,1316.42,1180.11,3821257000.0
2003-08-29,1274.61,1341.2,1344.74,1204.29,3029406000.0
2003-09-30,1347.64,1303.7,1406.61,1302.26,3991718000.0
2003-10-31,1312.43,1416.39,1443.18,1306.33,4122687000.0
2003-11-28,1423.13,1424.25,1453.46,1357.25,3404993000.0
2003-12-31,1434.1,1467.92,1474.24,1372.87,3547088000.0
2004-01-30,1474.16,1493.08,1559.47,1458.51,4597269000.0
2004-02-27,1497.78,1470.38,1524.09,1452.49,3541197000.0
2004-03-31,1476.04,1438.41,1494.67,1368.08,4249750000.0
2004-04-30,1438.91,1401.36,1508.37,1401.36,4015312000.0
2004-05-28,1409.06,1466.22,1469.23,1372.46,3265278000.0
2004-06-30,1457.71,1516.64,1523.48,1445.21,3260209000.0
2004-07-30,1514.82,1400.39,1514.82,1359.2,3571170000.0
2004-08-31,1390.21,1368.68,1408.31,1301.93,3082366000.0
2004-09-30,1363.27,1412.74,1440.81,1360.58,3129508000.0
2004-10-29,1426.38,1486.72,1496.98,1416.29,3597538000.0
2004-11-30,1486.25,1571.5,1593.16,1479.86,3792821000.0
2004-12-31,1578.25,1621.12,1635.7,1577.77,4437992000.0
2005-01-31,1628.75,1519.63,1635.45,1480.66,4313597000.0
2005-02-28,1521.0,1511.02,1561.17,1489.99,3662656000.0
2005-03-31,1516.63,1482.53,1552.53,1458.26,3978038000.0
2005-04-29,1491.83,1420.79,1503.21,1394.36,3751793000.0
2005-05-31,1421.9,1542.63,1551.12,1415.6,3422341000.0
2005-06-30,1541.73,1493.52,1568.96,1490.02,3670232000.0
2005-07-29,1497.02,1605.14,1619.95,1484.18,3270231000.0
2005-08-31,1609.74,1581.71,1628.57,1551.31,3423871000.0
2005-09-30,1581.23,1601.66,1619.12,1551.81,3479008000.0
2005-10-31,1603.47,1579.18,1617.77,1515.42,3650090000.0
2005-11-30,1572.97,1672.56,1704.42,1570.75,3194242000.0
2005-12-30,1683.39,1645.2,1716.65,1641.86,3273738000.0
2006-01-31,1654.39,1710.75,1761.46,1633.62,4177522000.0
2006-02-28,1697.12,1670.57,1714.28,1637.26,3710389000.0
2006-03-31,1675.92,1703.66,1720.2,1634.25,4756735000.0
2006-04-28,1715.12,1700.71,1750.23,1684.35,3922748000.0
2006-05-31,1706.8,1579.58,1721.13,1554.76,4592378000.0
2006-06-30,1581.08,1575.23,1626.29,1511.53,4341801000.0
2006-07-31,1580.63,1509.43,1586.44,1446.77,3640533000.0
2006-08-31,1498.17,1579.73,1586.6,1476.06,3817758000.0
2006-09-29,1589.21,1654.13,1666.03,1558.17,3730495000.0
2006-10-31,1650.32,1732.54,1745.79,1623.07,4271458000.0
2006-11-30,1738.55,1791.25,1824.21,1693.19,3894334000.0
2006-12-29,1790.63,1756.9,1821.18,1746.07,3507367000.0
2007-01-31,1769.22,1792.28,1847.54,1731.71,4268849000.0
2007-02-28,1801.6,1761.6,1851.47,1746.29,3970056000.0
2007-03-30,1729.03,1772.36,1807.43,1710.97,4356390000.0
2007-04-30,1775.92,1867.75,1896.77,1761.65,3971700000.0
2007-05-31,1872.34,1928.19,1931.1,1857.33,4425246000.0
2007-06-29,1934.74,1934.1,1948.58,1876.52,4534031000.0
2007-07-31,1943.28,1932.06,2060.29,1931.99,4510736000.0
2007-08-31,1929.09,1988.73,1995.0,1805.66,5212603000.0
2007-09-28,1989.28,2091.11,2101.96,1943.27,3525725000.0
2007-10-31,2092.6,2238.98,2239.23,2088.79,4875162000.0
2007-11-30,2223.52,2089.1,2226.88,1980.18,5021479000.0
2007-12-31,2080.1,2084.93,2147.68,1999.59,3775339000.0
2008-01-31,2085.53,1841.42,2094.22,1693.06,5521196000.0
2008-02-29,1846.07,1745.27,1864.97,1714.86,4576757000.0
2008-03-31,1743.92,1781.93,1831.98,1668.57,4496644000.0
2008-04-30,1806.15,1917.7,1953.59,1776.6,4272625000.0
2008-05-30,1921.87,2032.57,2050.79,1921.05,4278311000.0
2008-06-30,2026.58,1837.09,2055.82,1829.3,4596810000.0
2008-07-31,1821.93,1849.15,1874.83,1761.08,5067246000.0
2008-08-29,1847.47,1872.54,1973.56,1802.09,3948289000.0
2008-09-30,1904.21,1594.63,1912.72,1496.15,5172294000.0
2008-10-31,1581.06,1334.78,1584.26,1149.12,6253712000.0
2008-11-28,1333.19,1185.75,1382.65,1018.86,4193321000.0
2008-12-31,1185.75,1211.65,1251.56,1091.04,3961989000.0
2009-01-30,1212.74,1180.25,1286.08,1136.61,3999560000.0
2009-02-27,1168.13,1116.99,1286.9,1112.12,4238062000.0
2009-03-31,1098.99,1237.01,1281.3,1040.41,4948093000.0
2009-04-30,1215.9,1394.33,1418.77,1211.6,4868364000.0
2009-05-29,1396.22,1435.57,1435.8,1339.82,4735203000.0
2009-06-30,1451.37,1477.25,1511.94,1413.54,5188125000.0
2009-07-31,1486.5,1603.36,1632.97,1394.87,4708436000.0
2009-08-31,1619.24,1625.19,1668.01,1563.14,4401167000.0
2009-09-30,1620.09,1718.99,1754.54,1585.56,4965291000.0
2009-10-30,1710.5,1667.13,1780.83,1656.57,5048964000.0
2009-11-30,1667.06,1767.43,1814.25,1652.44,3887730000.0
2009-12-31,1782.85,1860.31,1882.58,1759.34,3926907000.0
2010-01-29,1882.69,1741.04,1897.49,1734.03,4562583000.0
2010-02-26,1745.91,1818.68,1830.38,1712.89,4283536000.0
2010-03-31,1826.62,1958.34,1976.38,1826.61,5495555000.0
2010-04-30,1968.44,2000.63,2059.42,1943.97,5452854000.0
2010-05-28,2010.94,1852.39,2039.52,1752.31,5720312000.0
2010-06-30,1846.6,1739.14,1939.77,1734.9,4863373000.0
2010-07-30,1741.93,1864.0,1900.15,1700.04,4391037000.0
2010-08-31,1886.61,1767.43,1918.78,1747.32,4179424000.0
2010-09-30,1791.91,1998.04,2029.65,1791.41,4158687000.0
2010-10-29,2014.47,2124.45,2137.33,1963.68,4153976000.0
2010-11-30,2135.57,2117.33,2200.16,2085.27,4089356000.0
2010-12-31,2150.64,2217.86,2238.92,2150.64,3630689000.0
2011-01-31,2238.66,2281.91,2336.04,2237.73,4022176000.0
2011-02-28,2298.37,2350.99,2403.52,2284.65,3922534000.0
2011-03-31,2359.78,2338.99,2375.67,2188.92,4504999000.0
2011-04-29,2352.47,2404.08,2415.85,2254.88,3802460000.0
2011-05-31,2410.24,2372.54,2417.83,2298.72,4206711000.0
2011-06-30,2368.29,2325.07,2373.82,2180.94,4257071000.0
2011-07-29,2326.16,2362.81,2438.44,2318.2,3728298000.0
2011-08-31,2391.42,2241.01,2396.5,2034.92,5697787000.0
2011-09-30,2245.01,2139.18,2337.7,2112.84,4299647000.0
2011-10-31,2128.02,2360.08,2412.52,2042.9,4278783000.0
2011-11-30,2301.11,2295.2,2402.51,2150.71,3839721000.0
2011-12-30,2294.27,2277.83,2343.1,2209.57,3317749000.0
2012-01-31,2323.16,2467.95,2481.51,2307.56,3532590000.0
2012-02-29,2481.62,2623.1,2645.2,2474.29,3772846000.0
2012-03-30,2634.2,2755.27,2794.0,2575.13,3668631000.0
2012-04-30,2752.25,2723.68,2795.35,2628.96,3379399000.0
2012-05-31,2719.25,2524.87,2756.81,2474.7,4011593000.0
2012-06-29,2510.82,2615.72,2633.21,2443.92,3745865000.0
2012-07-31,2616.52,2642.53,2663.12,2522.89,3468668000.0
2012-08-31,2660.49,2772.24,2802.91,2606.54,3570895000.0
2012-09-28,2766.93,2799.19,2878.38,2744.29,3371973000.0
2012-10-31,2811.45,2647.92,2845.97,2636.83,3636702000.0
2012-11-30,2661.05,2677.88,2701.91,2494.38,3689424000.0
2012-12-31,2697.44,2660.93,2713.39,2598.57,3352249000.0
2013-01-31,2727.67,2731.53,2769.31,2703.75,3902762000.0
2013-02-28,2751.19,2738.58,2783.19,2689.83,3576543000.0
2013-03-28,2725.38,2818.69,2820.67,2713.49,3374918000.0
2013-04-30,2819.78,2887.44,2887.87,2730.97,3690433000.0
2013-05-31,2885.35,2981.76,3053.51,2868.76,3914408000.0
2013-06-28,2984.59,2909.6,3007.3,2825.18,3752825000.0
2013-07-31,2933.48,3090.19,3110.01,2913.48,3588952000.0
2013-08-30,3113.22,3073.81,3149.24,3053.26,3280465000.0
2013-09-30,3097.65,3218.2,3248.52,3077.13,3499774000.0
2013-10-31,3220.92,3377.73,3408.28,3117.69,4301719000.0
2013-11-29,3392.32,3487.82,3495.97,3318.4,3581847000.0
2013-12-31,3496.19,3592.0,3592.0,3422.86,3713928000.0
2014-01-31,3575.6,3521.92,3634.65,3461.64,4522761000.0
2014-02-28,3524.23,3696.1,3722.38,3418.88,3997818000.0
2014-03-31,3657.32,3595.74,3738.32,3543.07,4679618000.0
2014-04-30,3615.91,3582.02,3676.36,3414.11,4439122000.0
2014-05-30,3589.66,3736.82,3741.57,3506.35,3929013000.0
2014-06-30,3740.71,3849.48,3860.65,3707.89,4024937000.0
2014-07-31,3864.14,3892.5,3997.5,3837.16,3953641000.0
2014-08-29,3886.1,4082.56,4082.97,3845.2,3341730000.0
2014-09-30,4093.12,4049.45,4118.91,4007.63,3963114000.0
2014-10-31,4043.33,4158.21,4170.87,3700.23,5013619000.0
2014-11-28,4160.6,4337.79,4347.09,4126.72,3296799000.0
2014-12-31,4323.95,4236.28,4332.55,4089.09,3958709000.0
2015-01-30,4258.6,4148.43,4292.88,4078.85,3871903000.0
2015-02-27,4162.2,4440.67,4464.31,4094.73,3577309000.0
2015-03-31,4452.8,4333.69,4483.97,4280.95,4120424000.0
2015-04-30,4328.17,4414.25,4562.33,4283.91,3615964000.0
2015-05-29,4437.7,4508.25,4551.53,4349.93,3599454000.0
2015-06-30,4530.03,4396.76,4561.64,4377.23,4133882000.0
2015-07-31,4433.79,4588.91,4694.13,4344.15,4063412000.0
2015-08-31,4595.26,4274.58,4634.7,3787.23,4338830000.0
2015-09-30,4177.94,4181.06,4450.66,4053.12,4150392000.0
2015-10-30,4185.28,4648.83,4681.23,4124.55,4234824000.0
2015-11-30,4658.79,4664.51,4737.12,4486.09,3681419000.0
2015-12-31,4685.74,4593.27,4739.75,4478.25,4057794000.0
2016-01-29,4485.06,4279.17,4522.12,3992.91,4486713000.0
2016-02-29,4254.41,4201.12,4301.63,3888.78,4309865000.0
2016-03-31,4238.08,4483.66,4518.18,4225.93,4073888000.0
2016-04-29,4461.77,4341.3,4574.38,4307.1,3801430000.0
2016-05-31,4350.83,4523.89,4526.84,4282.0,3880324000.0
2016-06-30,4507.18,4417.7,4536.55,4179.73,4421390000.0
2016-07-29,4411.77,4730.23,4743.25,4375.72,3605004000.0
2016-08-31,4734.44,4771.05,4837.67,4689.55,3875478000.0
2016-09-30,4774.81,4875.7,4895.5,4656.51,4005460000.0
2016-10-31,4864.63,4801.27,4911.76,4760.07,3464485000.0
2016-11-30,4810.3,4810.81,4896.57,4647.59,4187072000.0
2016-12-30,4806.77,4863.62,4992.08,4721.41,3855926000.0
2017-01-31,4900.85,5116.77,5172.43,4884.52,3602797000.0
2017-02-28,5157.83,5330.31,5358.53,5128.76,3670956000.0
2017-03-31,5368.65,5436.23,5451.5,5316.02,4393772000.0
2017-04-28,5440.2,5583.53,5600.0,5353.59,3379320000.0
2017-05-31,5602.44,5788.8,5813.26,5568.47,6006222000.0
2017-06-30,5804.17,5646.92,5897.69,5599.44,8512683000.0
2017-07-31,5680.36,5880.33,5995.77,5579.64,3605458000.0
2017-08-31,5900.64,5988.6,5995.45,5750.5,4123680000.0
2017-09-29,6001.82,5979.3,6012.95,5839.89,3817712000.0
2017-10-31,5988.96,6248.56,6258.42,5955.83,4142137000.0
2017-11-30,6274.26,6365.56,6426.04,6194.58,4187038000.0
2017-12-29,6325.61,6396.42,6522.7,6234.22,3857317000.0
2018-01-31,6431.59,6949.99,7022.97,6417.75,5654949000.0
2018-02-28,6910.57,6854.42,7003.13,6164.43,4379197000.0
2018-03-29,6862.94,6581.13,7186.09,6410.04,4829213000.0
2018-04-30,6528.23,6605.57,6856.96,6322.6,4293219000.0
2018-05-31,6592.93,6967.73,7016.42,6539.87,4540522000.0
2018-06-29,7010.08,7040.8,7309.99,6950.23,6288537000.0
2018-07-31,6979.54,7231.98,7511.39,6969.16,3862549000.0
2018-08-31,7269.2,7654.55,7691.1,7221.35,4590088000.0
2018-09-28,7629.34,7627.65,7657.8,7400.99,4219989000.0
2018-10-31,7673.0,6967.1,7700.56,6574.75,6136596000.0
2018-11-30,6980.79,6949.01,7205.96,6442.36,4855465000.0
2018-12-31,7106.84,6329.96,7107.0,5895.12,7106560000.0
2019-01-31,6198.68,6906.84,6936.34,6139.4,4919704000.0
2019-02-28,6872.73,7097.53,7161.73,6836.7,4230454000.0
2019-03-29,7152.08,7378.77,7505.41,6940.72,6395281000.0
2019-04-30,7450.81,7781.46,7851.97,7422.44,4316280000.0
2019-05-31,7828.14,7127.96,7851.03,7125.97,4740110000.0
2019-06-28,7110.34,7671.08,7772.53,6936.68,4449541000.0
2019-07-31,7816.56,7848.78,8027.18,7735.67,3320176000.0
2019-08-30,7866.6,7691.0,8000.94,7356.27,4442040000.0
2019-09-30,7634.03,7749.45,7975.33,7584.82,4146265000.0
2019-10-31,7782.82,8083.83,8119.73,7463.57,4397636000.0
2019-11-29,8121.95,8403.68,8445.61,8111.73,4158199000.0
2019-12-31,8409.87,8733.07,8811.1,8167.36,4593888000.0
2020-01-31,8802.22,8991.51,9272.37,8713.89,5245635000.0
2020-02-28,9033.52,8461.83,9736.57,8133.85,4920654000.0
2020-03-31,8569.91,7813.5,9000.46,6771.91,9687404000.0
2020-04-30,7582.78,9000.51,9025.82,7423.97,7869714000.0
2020-05-29,8791.88,9555.53,9573.55,8665.4,7601918000.0
2020-06-30,9526.43,10156.85,10306.9,9489.58,11145527000.0
2020-07-31,10160.41,10905.88,11069.26,10142.75,9432117000.0
2020-08-31,11018.02,12110.7,12167.46,10855.06,7840823000.0
2020-09-30,12203.36,11418.06,12439.48,10677.85,8205945000.0
2020-10-30,11554.96,11052.95,12204.75,10960.02,7782712000.0
2020-11-30,11152.48,12268.32,12306.71,10957.11,9059861000.0
2020-12-31,12387.62,12888.28,12925.53,12226.13,11170709000.0
2021-01-29,12950.22,12925.38,13563.7,12537.42,13807616000.0
2021-02-26,13067.65,12909.44,13879.77,12758.12,14019798000.0
2021-03-31,13106.02,13091.44,13301.62,12208.39,13329830000.0
2021-04-30,13988.86,13860.76,14073.48,13716.76,7861755812.0
2021-05-28,13923.04,13686.51,13955.0,13396.11,5996354980.0
2021-06-30,13764.27,14554.8,14582.3,13469.85,11814766378.0
2021-07-30,14530.63,14959.9,15142.35,14455.07,12341300327.0
2021-08-31,15046.1,15582.51,15620.62,14773.19,12840475175.0
2021-09-30,15637.13,14689.62,15701.4,14684.55,12119500026.0
2021-10-29,14731.38,15850.47,15856.9,14384.93,12196997557.0
2021-11-30,15879.61,16135.92,16764.86,15785.31,15011387295.0
2021-12-31,16347.96,16320.08,16607.19,15508.74,16336067704.0
2022-01-31,16395.51,14930.05,16513.87,13724.85,18440632726.0
2022-02-28,14966.6,14237.81,15196.4,13065.44,17407009365.0
2022-03-31,14197.66,14838.49,15265.42,13020.4,20523134101.0
2022-04-29,14886.91,12854.8,15161.89,12835.48,15743062360.0
2022-05-31,12864.83,12642.1,13556.67,11492.29,20510273163.0
2022-06-30,12750.31,11503.72,12897.63,11037.21,18788745775.0
2022-07-29,11472.63,12947.97,12986.64,11366.07,16285984924.0
2022-08-31,12877.04,12272.03,13720.91,12240.82,17737881805.0
2022-09-30,12158.88,10971.22,12752.83,10966.95,20125975356.0
2022-10-31,11059.17,11405.57,11681.85,10440.64,21851181677.0
2022-11-30,11571.53,12030.06,12031.34,10632.39,21539553902.0
2022-12-30,12030.24,10939.76,12166.41,10671.19,20352383225.0
2023-01-31,11038.42,12101.93,12248.15,10696.42,21297477844.0
2023-02-28,12087.92,12042.12,12880.98,11900.84,20975051910.0
2023-03-31,12026.72,13181.35,13188.83,11695.41,23818964281.0
2023-04-28,13084.1,13245.99,13247.39,12724.24,16626846459.0
2023-05-31,13229.11,14254.09,14520.17,12938.45,22033156673.0
2023-06-30,14269.09,15179.21,15284.65,14219.94,22621822175.0
2023-07-31,15190.54,15757.0,15932.05,14924.64,19502507262.0
