,open,close,high,low,vol
2003-09-05,1347.64,1361.9,1380.24,1333.29,794552000.0
2003-09-12,1366.55,1357.63,1387.45,1327.92,971652000.0
2003-09-19,1359.97,1392.26,1406.61,1345.94,905253000.0
2003-09-26,1371.18,1309.31,1388.67,1309.2,967144000.0
2003-10-03,1318.33,1375.32,1385.79,1302.26,897158000.0
2003-10-10,1378.2,1404.87,1418.09,1368.13,856641000.0
2003-10-17,1412.37,1394.02,1439.97,1392.08,878623000.0
2003-10-24,1395.41,1370.61,1424.8,1346.01,887872000.0
2003-10-31,1378.95,1416.39,1443.18,1369.38,955510000.0
2003-11-07,1423.13,1436.73,1453.46,1414.37,1028872000.0
2003-11-14,1435.87,1407.51,1448.06,1401.45,892674000.0
2003-11-21,1399.38,1373.32,1405.94,1357.25,897851000.0
2003-11-28,1385.2,1424.25,1426.76,1385.2,585596000.0
2003-12-05,1434.1,1406.91,1452.03,1405.55,966452000.0
2003-12-12,1406.02,1417.27,1425.01,1372.87,860822000.0
2003-12-19,1442.05,1426.17,1442.65,1384.52,868692000.0
2003-12-26,1422.79,1443.86,1451.21,1419.82,377803000.0
2004-01-02,1447.62,1463.57,1479.59,1447.62,639997000.0
2004-01-09,1474.55,1520.46,1541.84,1474.19,1209712000.0
2004-01-16,1524.54,1553.62,1553.64,1513.21,1161966000.0
2004-01-23,1558.89,1531.21,1559.47,1519.74,960333000.0
2004-01-30,1526.57,1493.08,1553.66,1474.13,1098580000.0
2004-02-06,1497.78,1498.95,1507.59,1461.01,983964000.0
2004-02-13,1502.32,1484.47,1516.21,1478.54,883865000.0
2004-02-20,1498.7,1482.1,1524.09,1470.92,737917000.0
2004-02-27,1488.28,1470.38,1489.4,1452.49,935451000.0
2004-03-05,1476.04,1472.99,1494.67,1456.87,922902000.0
2004-03-12,1476.85,1431.4,1481.19,1402.2,1020803000.0
2004-03-19,1423.15,1398.58,1432.23,1394.11,868914000.0
2004-03-26,1386.76,1415.39,1431.23,1368.08,920530000.0
2004-04-02,1429.54,1490.3,1490.3,1429.09,918318000.0
2004-04-08,1488.45,1485.51,1508.37,1475.62,701650000.0
2004-04-16,1489.59,1449.06,1502.52,1440.56,911323000.0
2004-04-23,1448.89,1497.01,1497.17,1434.16,972371000.0
2004-04-30,1496.67,1401.36,1499.45,1401.36,1028251000.0
2004-05-07,1409.06,1406.19,1438.49,1403.36,876454000.0
2004-05-14,1395.21,1399.85,1425.69,1378.64,851361000.0
2004-05-21,1379.99,1408.17,1427.51,1372.46,771647000.0
2004-05-28,1418.77,1466.22,1469.23,1406.2,765816000.0
2004-06-04,1457.71,1455.04,1474.1,1445.21,592342000.0
2004-06-10,1465.56,1481.27,1496.0,1464.01,581593000.0
2004-06-18,1470.62,1464.65,1487.83,1451.78,743073000.0
