date,ndx,inx,vol,vix,fed,t10y2y,cape,margin,arkk,margin_lag,F1_cape,mom12,F3_vix,arkk_ndx_mom,ici_anom,F7_fed,rel_mom12,s1,s2,s3,s4,s5,s6,s7,s8,f5_raw,total
2016-01-29,4279.17,1940.24,16255958229.0,18.025454545454547,0.24,1.21,24.21,487200.0,15.624,503444.0,24.21,0.03151553720323097,18.025454545454547,,-35052.0,0.24,0.05895928378842685,47.093023255813954,20.0,48.33333333333333,91.66666666666666,,0.0,30.0,41.66666666666667,,
2016-02-29,4201.12,1932.23,15830286353.0,22.517,0.38,0.96,24.0,474156.0,15.96,487200.0,24.0,-0.05394456241963497,22.517,,11530.5,0.38,0.02791336107763276,46.24277456647399,11.666666666666666,29.166666666666657,82.5,,83.33333333333334,28.33333333333333,25.0,,
2016-03-31,4483.66,2059.74,14656120499.0,15.84909090909091,0.36,1.05,25.37,483909.0,17.855,474156.0,25.37,0.03460561323029565,15.84909090909091,-0.09565946262028291,-7219.5,0.36,0.03854682867212289,58.04597701149425,23.333333333333332,64.16666666666666,78.33333333333333,0.0,32.87671232876712,28.33333333333333,29.166666666666668,50.0,44.232368918280585
2016-04-29,4341.3,2065.3,13145309755.0,15.84909090909091,0.36,1.05,25.92,495178.0,17.621,483909.0,25.92,-0.01652602367333067,15.84909090909091,-0.06216267234256401,-7219.5,0.36,-0.006835348490761395,67.42857142857143,14.166666666666666,65.0,80.83333333333333,0.0,32.432432432432435,28.33333333333333,20.0,50.0,44.10057915057915
2016-05-31,4523.89,2096.96,12496368849.0,14.852857142857141,0.37,0.97,25.69,489867.0,18.191,495178.0,25.69,0.003469195364054878,14.852857142857141,-0.0805366738013964,-13343.0,0.37,0.008418445384221873,63.63636363636363,16.666666666666664,70.83333333333333,85.0,0.0,21.333333333333336,26.66666666666667,22.5,50.0,43.68560606060606
2016-06-30,4417.7,2098.86,13925474629.0,17.774545454545457,0.38,0.91,25.84,487636.0,18.004,489867.0,25.84,0.004762597913008593,17.774545454545457,-0.08105421968716064,-14581.5,0.38,-0.009787180698333398,66.66666666666666,17.5,50.833333333333336,83.33333333333334,0.0,18.421052631578945,25.83333333333333,19.166666666666668,50.0,41.15482456140351
2016-07-29,4730.23,2173.6,11439993697.0,17.774545454545457,0.38,0.91,26.69,513221.0,19.217,487636.0,26.69,0.0307959842315495,17.774545454545457,-0.05173545845205085,-14581.5,0.38,-0.0023231457733936534,83.14606741573034,22.5,51.666666666666664,81.66666666666667,0.0,18.181818181818183,25.83333333333333,20.833333333333336,50.0,45.048152877085464
2016-08-31,4771.05,2170.95,11454718545.0,12.399565217391304,0.4,0.78,26.95,510157.0,19.236,513221.0,26.95,0.11614474404502895,12.399565217391304,-0.067861365298435,-28032.5,0.4,0.015357797620260571,88.26815642458101,45.83333333333333,92.5,93.33333333333333,0.0,3.8461538461538463,23.33333333333333,22.5,50.0,53.15555436183928
2016-09-30,4875.7,2168.27,13023767829.0,14.21952380952381,0.4,0.83,26.73,540615.0,20.701,510157.0,26.73,0.16613968706500248,14.21952380952381,0.04063424321364972,-18012.5,0.4,0.0368500405490626,82.77777777777777,53.333333333333336,76.66666666666667,92.5,0.0,13.924050632911392,23.33333333333333,30.0,50.0,53.86082981715894
2016-10-31,4801.27,2126.15,11684826957.0,14.585238095238097,0.4,0.98,26.53,523760.0,18.583,540615.0,26.53,0.03279104634929664,14.585238095238097,-0.009892383939432703,-33542.5,0.4,0.010288930313593347,79.55801104972376,23.333333333333332,74.16666666666666,97.5,0.0,2.5,23.33333333333333,20.833333333333336,50.0,47.178268876611426
2016-11-30,4810.81,2198.81,13899411467.0,15.236190476190476,0.41,1.26,26.85,539972.0,18.769,523760.0,26.85,0.03136449487727555,15.236190476190476,-0.061590804684033884,-23579.5,0.41,-0.0255473638428807,86.26373626373626,21.666666666666668,70.83333333333333,95.83333333333334,0.0,9.876543209876543,20.833333333333343,14.166666666666666,50.0,47.792562067562066
2016-12-30,4863.62,2238.83,36059444467.0,15.236190476190476,0.41,1.26,27.87,529372.0,18.713,539972.0,27.87,0.05885785072508254,15.236190476190476,-0.0789144070719614,-23579.5,0.41,-0.03649230632453726,95.62841530054644,30.833333333333336,71.66666666666667,96.66666666666667,0.0,9.75609756097561,20.833333333333343,10.0,50.0,50.355764360922294
2017-01-31,5116.77,2278.87,41879634327.0,11.6085,0.65,1.26,28.06,553557.0,20.617,529372.0,28.06,0.1957388932900539,11.6085,0.12383355934691487,-3368.5,0.65,0.02120893823294767,95.65217391304348,64.16666666666667,96.66666666666667,95.0,0.0,50.602409638554214,19.16666666666667,22.5,50.0,64.56246289505849
2017-02-28,5330.31,2363.64,40740792428.0,11.530526315789475,0.66,1.14,28.66,568637.0,21.579,553557.0,28.66,0.26878308641505133,11.530526315789475,0.08328458275788098,9474.0,0.66,0.045512564789779164,96.75675675675676,80.83333333333333,98.33333333333333,100.0,0.0,75.0,18.33333333333333,33.33333333333333,50.0,73.13468468468469
2017-03-31,5436.23,2362.72,47262642118.0,11.89782608695652,0.79,1.13,29.09,577674.0,22.363,568637.0,29.09,0.21245366508611263,11.89782608695652,0.04002463230957476,-9032.0,0.79,0.06535742963892033,97.31182795698925,67.5,96.66666666666667,100.0,50.0,31.76470588235294,17.5,48.333333333333336,75.0,72.24373814041746
2017-04-28,5583.53,2384.2,37735944931.0,11.89782608695652,0.79,1.13,28.9,590797.0,23.492,577674.0,28.9,0.2861423997420127,11.89782608695652,0.047039599009477184,-9032.0,0.79,0.13173383924232773,96.2566844919786,85.0,97.5,100.0,69.23076923076923,31.3953488372093,17.5,91.66666666666666,84.61538461538461,82.58371614705403
2017-05-31,5788.8,2411.8,44654186258.0,10.862272727272726,0.91,0.93,29.31,582764.0,26.46,590797.0,29.31,0.27960671015431404,10.862272727272726,0.17495873429623865,8213.0,0.91,0.129465553432202,97.87234042553192,82.5,100.0,100.0,100.0,74.71264367816092,15.833333333333329,90.83333333333333,100.0,92.30636463683054
2017-06-30,5646.92,2423.41,48560081219.0,10.513636363636364,1.04,0.93,29.75,584258.0,27.02,582764.0,29.75,0.2782488625302759,10.513636363636364,0.22252874244639576,-5026.5,1.04,0.12361730063477094,97.88359788359789,81.66666666666667,100.0,99.16666666666667,100.0,46.590909090909086,13.333333333333329,87.5,100.0,87.34035594035593
2017-07-31,5880.33,2470.3,38444881701.0,10.2645,1.15,0.96,30.0,594414.0,27.645,584258.0,30.0,0.24313828291647566,10.2645,0.19543173321507457,-9391.5,1.15,0.10663662667797724,97.89473684210527,70.0,100.0,99.16666666666667,87.5,29.213483146067414,12.5,78.33333333333333,93.75,80.71096984033116
2017-08-31,5988.6,2471.65,40576568912.0,11.975652173913044,1.16,0.79,29.91,596567.0,31.864,594414.0,29.91,0.2551953972396013,11.975652173913044,0.4012820408972255,-12090.5,1.16,0.1166846070325489,97.38219895287958,73.33333333333333,93.33333333333333,100.0,100.0,27.77777777777778,11.666666666666671,84.16666666666667,100.0,82.40143979057592
2017-09-29,5979.3,2519.36,39446919405.0,11.975652173913044,1.16,0.79,30.17,606334.0,32.004,596567.0,30.17,0.22634698607379455,11.975652173913044,0.3196652838648557,-12090.5,1.16,0.06442526968238571,98.4375,66.66666666666666,93.33333333333333,100.0,88.88888888888889,27.472527472527474,11.666666666666671,45.0,94.44444444444444,74.78060134310135
2017-10-31,6248.56,2575.26,43198854908.0,10.125454545454545,1.15,0.78,30.92,607838.0,33.143,606334.0,30.92,0.30143899426610044,10.125454545454545,0.4820728176049647,-11583.5,1.15,0.09020742546803806,100.0,88.33333333333333,100.0,100.0,100.0,29.347826086956523,12.5,66.66666666666666,100.0,83.00217391304348
2017-11-30,6365.56,2647.58,43351095250.0,10.54047619047619,1.16,0.64,31.3,627422.0,34.72,607838.0,31.3,0.3231784252547907,10.54047619047619,0.5266803844846735,-12048.5,1.16,0.1190816638247445,100.0,91.66666666666666,97.5,100.0,100.0,29.03225806451613,10.833333333333329,87.5,100.0,86.22983870967742
2017-12-29,6396.42,2673.61,39132011023.0,10.54047619047619,1.16,0.64,32.09,642798.0,35.055,627422.0,32.09,0.3151562005255346,10.54047619047619,0.558140438174834,-12048.5,1.16,0.12095655160176633,100.0,90.0,97.5,100.0,100.0,28.723404255319153,10.833333333333329,88.33333333333333,100.0,86.10851063829787
2018-01-31,6949.99,2823.81,47016764084.0,11.062380952380952,1.41,0.58,33.31,665716.0,38.988,642798.0,33.31,0.3582768035303521,11.062380952380952,0.532783971558167,-2686.5,1.41,0.11914951676103214,100.0,95.0,95.0,100.0,90.9090909090909,56.84210526315789,7.5,87.5,95.45454545454545,89.64222488038277
2018-02-28,6854.42,2713.83,49680991803.0,22.464736842105264,1.42,0.62,32.04,645064.0,38.676,665716.0,32.04,0.2859327131067424,22.464736842105264,0.5063653544589466,-3298.0,1.42,0.13777563334840348,98.98477157360406,81.66666666666667,26.66666666666667,100.0,73.91304347826087,54.166666666666664,6.666666666666671,95.0,86.95652173913044,80.02992532921357
2018-03-29,6581.13,2640.87,49520702567.0,22.464736842105264,1.42,0.62,31.81,645235.0,36.936,645064.0,31.81,0.21060551154016682,22.464736842105264,0.44105124292032594,-3298.0,1.42,0.0928810245082714,98.48484848484848,62.5,26.66666666666667,99.16666666666667,58.333333333333314,53.608247422680414,6.666666666666671,69.16666666666667,79.16666666666666,71.96320681037176
2018-04-30,6605.57,2648.05,44339282806.0,18.267619047619046,1.69,0.46,30.97,652303.0,36.955,645235.0,30.97,0.18304549272592796,18.267619047619046,0.3900432183246423,-3413.5,1.69,0.0723794412201817,97.48743718592965,55.00000000000001,41.666666666666664,99.16666666666667,44.0,52.04081632653062,5.0,50.0,72.0,67.82027655283218
2018-05-31,6967.73,2705.27,44387501398.0,14.124545454545455,1.7,0.43,31.24,668940.0,41.105,652303.0,31.24,0.20365706191265875,14.124545454545455,0.3498198844214302,-1927.0,1.7,0.0819761596819597,97.5,60.0,76.66666666666667,99.16666666666667,38.46153846153845,59.59595959595959,4.166666666666657,53.333333333333336,69.23076923076923,73.00221445221445
2018-06-29,7040.8,2718.37,45534269757.0,14.124545454545455,1.7,0.43,31.63,646931.0,42.523,668940.0,31.63,0.2468389847917094,14.124545454545455,0.32692119285447885,-1927.0,1.7,0.12512619166136818,98.00995024875621,69.16666666666667,76.66666666666667,100.0,33.333333333333314,59.0,4.166666666666657,90.83333333333333,66.66666666666666,79.37699004975124
2018-07-31,7231.98,2816.29,39758663331.0,13.147619047619049,1.91,0.29,31.89,652790.0,42.117,646931.0,31.89,0.22985954869879754,13.147619047619049,0.29363475406842965,-12810.5,1.91,0.08979963694718851,98.51485148514851,63.33333333333333,85.83333333333333,97.5,21.428571428571416,23.762376237623762,1.6666666666666714,65.0,60.71428571428571,68.89351720886376
2018-08-31,7654.55,2901.52,41920715337.0,12.54695652173913,1.91,0.24,32.39,652395.0,46.986,652790.0,32.39,0.2781868884213339,12.54695652173913,0.1963925742952113,-15902.5,1.91,0.10426663272170011,99.50738916256158,78.33333333333333,85.83333333333333,98.33333333333333,10.34482758620689,17.647058823529413,1.6666666666666714,76.66666666666667,55.172413793103445,70.76635274799575
2018-09-28,7627.65,2913.98,38082225536.0,12.54695652173913,1.91,0.24,32.62,648126.0,44.755,652395.0,32.62,0.27567608248457165,12.54695652173913,0.12274286514697463,-15902.5,1.91,0.11904106406719595,99.50980392156863,76.66666666666667,85.83333333333333,97.5,0.0,17.475728155339805,1.6666666666666714,85.0,43.333333333333336,70.60665334094804
2018-10-31,6967.1,2711.74,48832308363.0,19.35217391304348,2.19,0.28,31.04,607645.0,40.254,648126.0,31.04,0.11499289436286109,19.35217391304348,0.09956221531339016,-9768.5,2.19,0.06199630372735254,95.1219512195122,32.5,32.5,95.83333333333334,0.0,32.69230769230769,0.0,41.66666666666667,41.935483870967744,54.57823639774859
2018-11-30,6949.01,2760.17,43656914782.0,19.38904761904762,2.2,0.21,30.2,592593.0,42.022,607645.0,30.2,0.09165729330962247,19.38904761904762,0.1186537665982117,-16451.5,2.2,0.04913166613310649,92.23300970873787,28.333333333333332,31.66666666666667,90.0,0.0,17.142857142857142,0.0,29.166666666666668,43.75,48.15969717984281
